match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f222cf32,Lille,Jonathan David,9,CAN,FW,24-296,90,1,0,0,0,2,1,0,0,27,0,0,2,0.5,0.5,0.0,1,0,15,18,83.3,1,19,1,1,1
f222cf32,Lille,Osame Sahraoui,11,MAR,LW,23-147,86,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,15,2,1,0
f222cf32,Lille,Matias Fernandez-Pardo,19,BEL,LW,19-276,4,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
f222cf32,Lille,Edon Zhegrova,23,KVX,RW,25-219,90,0,1,0,0,3,2,0,0,41,2,0,2,0.2,0.2,0.5,5,2,16,22,72.7,1,29,4,13,8
f222cf32,Lille,Angel Gomes,8,ENG,AM,24-066,54,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,12,12,100.0,1,11,0,0,0
f222cf32,Lille,Ngal'Ayel Mukau,17,COD,AM,19-341,36,0,0,0,0,0,0,0,0,25,0,1,1,0.0,0.0,0.0,1,0,16,21,76.2,1,17,1,0,0
f222cf32,Lille,Ayyoub Bouaddi,32,FRA,DM,17-034,90,0,0,0,0,0,0,0,0,39,2,2,1,0.0,0.0,0.0,1,0,26,30,86.7,4,22,0,1,1
f222cf32,Lille,Benjamin André,21,FRA,DM,34-094,90,0,0,0,0,1,0,1,0,50,2,3,2,0.1,0.1,0.0,1,0,28,35,80.0,5,34,0,0,0
f222cf32,Lille,Gabriel Gudmundsson,5,SWE,LB,25-190,80,0,0,0,0,0,0,0,0,29,0,1,1,0.0,0.0,0.0,0,0,14,19,73.7,1,13,2,1,1
f222cf32,Lille,Mitchel Bakker,20,NED,LB,24-138,10,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,6,9,66.7,1,2,0,1,0
f222cf32,Lille,Alexsandro Ribeiro,4,BRA,CB,25-088,90,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.0,1,0,46,54,85.2,2,39,1,0,0
f222cf32,Lille,Bafodé Diakité,18,FRA,CB,23-304,90,0,0,0,0,0,0,0,0,57,0,3,1,0.0,0.0,0.0,0,0,43,47,91.5,1,45,0,0,0
f222cf32,Lille,Aïssa Mandi,2,ALG,RB,33-014,90,0,0,0,0,0,0,0,0,53,1,1,5,0.0,0.0,0.1,1,0,32,43,74.4,4,29,1,0,0
f222cf32,Lille,Lucas Chevalier,30,FRA,GK,22-365,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,23,36,63.9,0,28,0,0,0
f222cf32,Juventus,Dušan Vlahović,9,SRB,FW,24-282,67,1,0,1,1,2,1,0,0,18,0,0,0,0.9,0.1,0.1,2,0,10,12,83.3,2,14,2,0,0
f222cf32,Juventus,Timothy Weah,22,USA,FW,24-257,23,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.1,2,0,8,9,88.9,1,9,1,0,0
f222cf32,Juventus,Kenan Yıldız,10,TUR,LW,19-185,80,0,0,0,0,2,0,0,0,46,3,1,1,0.2,0.2,0.1,2,0,23,35,65.7,2,35,5,3,3
f222cf32,Juventus,Samuel Mbangula,51,BEL,LW,20-294,10,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
f222cf32,Juventus,Francisco Conceição,7,POR,RW,21-327,90,0,0,0,0,1,0,0,0,58,2,0,1,0.0,0.0,0.0,4,2,31,44,70.5,2,44,10,7,3
f222cf32,Juventus,Teun Koopmeiners,8,NED,AM,26-251,90,0,0,0,0,2,0,0,0,49,4,0,1,0.2,0.2,0.1,1,0,25,35,71.4,1,28,3,0,0
f222cf32,Juventus,Khéphren Thuram,19,FRA,DM,23-224,67,0,0,0,0,1,1,0,0,45,0,1,0,0.1,0.1,0.0,0,0,29,38,76.3,2,28,2,1,1
f222cf32,Juventus,Weston McKennie,16,USA,DM,26-069,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,1,10,0,0,0
f222cf32,Juventus,Manuel Locatelli,5,ITA,DM,26-302,90,0,0,0,0,0,0,0,0,91,3,1,1,0.0,0.0,0.1,4,0,72,80,90.0,14,70,2,1,1
f222cf32,Juventus,Juan David Cabal,32,COL,LB,23-302,67,0,0,0,0,0,0,1,0,78,2,0,1,0.0,0.0,0.0,2,0,64,70,91.4,7,61,0,2,1
