match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f53ce891,Leverkusen,Nathan Tella,19,NGA,FW,25-158,82,0,0,0,0,2,0,0,0,20,1,0,2,0.2,0.2,0.1,3,0,13,14,92.9,1,11,1,0,0
f53ce891,Leverkusen,Martin Terrier,11,FRA,FW,27-281,8,0,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.2,1,0,1,1,100.0,0,3,0,0,0
f53ce891,Leverkusen,Álex Grimaldo,20,ESP,LW,29-081,89,0,0,0,0,2,1,0,0,81,2,0,1,0.1,0.1,0.0,5,1,59,74,79.7,4,44,4,0,0
f53ce891,Leverkusen,Aleix García,24,ESP,LW,27-165,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
f53ce891,Leverkusen,Jeremie Frimpong,30,NED,RW,24-000,90,0,0,0,0,1,0,0,0,42,0,0,0,0.2,0.2,0.1,2,0,29,34,85.3,1,29,5,1,0
f53ce891,Leverkusen,Florian Wirtz,10,GER,AM,21-221,89,0,0,0,0,4,2,0,0,75,0,0,1,0.1,0.1,0.3,3,0,56,65,86.2,4,45,1,2,0
f53ce891,Leverkusen,Robert Andrich,8,GER,AM,30-079,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
f53ce891,Leverkusen,Granit Xhaka,34,SUI,DM,32-074,90,0,0,0,0,1,1,0,0,110,1,1,1,0.0,0.0,0.1,5,0,99,106,93.4,10,63,2,1,1
f53ce891,Leverkusen,Exequiel Palacios,25,ARG,DM,26-066,90,0,0,0,0,1,0,0,0,105,0,0,1,0.1,0.1,0.0,3,0,96,101,95.0,8,63,2,0,0
f53ce891,Leverkusen,Piero Hincapié,3,ECU,LB,22-336,90,0,0,0,0,1,0,0,0,66,1,1,1,0.0,0.0,0.0,3,0,51,56,91.1,3,28,1,2,0
f53ce891,Leverkusen,Edmond Tapsoba,12,BFA,CB,25-312,90,0,0,0,0,1,0,0,0,126,0,1,2,0.0,0.0,0.0,2,0,105,117,89.7,4,75,0,0,0
f53ce891,Leverkusen,Jonathan Tah,4,GER,CB,28-303,90,0,0,0,0,1,0,0,0,87,0,0,1,0.0,0.0,0.0,0,0,80,84,95.2,4,54,0,0,0
f53ce891,Leverkusen,Nordi Mukiele,23,FRA,RB,27-039,90,1,0,0,0,3,1,0,0,94,1,2,0,0.3,0.3,0.0,5,1,67,79,84.8,4,54,4,2,1
f53ce891,Leverkusen,Matej Kovar,17,CZE,GK,24-207,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,27,0,0,0
f53ce891,Inter,Mehdi Taremi,99,IRN,FW,32-145,84,0,0,0,0,1,0,0,0,20,1,0,0,0.1,0.1,0.0,0,0,12,14,85.7,2,12,1,1,1
f53ce891,Inter,Marko Arnautović,8,AUT,FW,35-235,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
f53ce891,Inter,Marcus Thuram,9,FRA,FW,27-126,65,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,1,0,9,13,69.2,0,12,1,0,0
f53ce891,Inter,Lautaro Martínez,10,ARG,FW,27-110,25,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,5,2,0,0
f53ce891,Inter,Piotr Zieliński,7,POL,CM,30-204,90,0,0,0,0,0,0,0,0,61,0,2,0,0.0,0.0,0.0,1,0,54,56,96.4,4,48,0,0,0
f53ce891,Inter,Hakan Çalhanoğlu,20,TUR,CM,30-306,65,0,0,0,0,2,0,1,0,49,1,4,2,0.1,0.1,0.1,2,0,33,39,84.6,3,35,1,0,0
f53ce891,Inter,Kristjan Asllani,21,ALB,CM,22-276,25,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,0,0,26,27,96.3,1,24,0,0,0
f53ce891,Inter,Davide Frattesi,16,ITA,CM,25-049,65,0,0,0,0,1,0,0,0,18,2,0,1,0.1,0.1,0.1,1,0,9,14,64.3,1,17,2,1,0
f53ce891,Inter,Nicolò Barella,23,ITA,CM,27-307,25,0,0,0,0,0,0,1,0,31,1,0,0,0.0,0.0,0.0,0,0,24,29,82.8,1,26,0,0,0
f53ce891,Inter,Carlos Augusto,30,BRA,WB,25-338,55,0,0,0,0,0,0,1,0,26,1,0,2,0.0,0.0,0.0,0,0,12,19,63.2,1,16,0,0,0
f53ce891,Inter,Federico Dimarco,32,ITA,WB,27-030,35,0,0,0,0,0,0,0,0,16,0,2,1,0.0,0.0,0.0,1,0,11,14,78.6,0,7,0,0,0
f53ce891,Inter,Matteo Darmian,36,ITA,WB,35-008,90,0,0,0,0,0,0,0,0,27,1,1,1,0.0,0.0,0.0,2,0,12,18,66.7,1,10,0,0,0
f53ce891,Inter,Alessandro Bastoni,95,ITA,CB,25-241,90,0,0,0,0,2,0,0,0,103,1,1,2,0.1,0.1,0.0,0,0,79,91,86.8,2,72,0,1,0
f53ce891,Inter,Stefan de Vrij,6,NED,CB,32-309,90,0,0,0,0,0,0,0,0,73,0,0,1,0.0,0.0,0.0,0,0,63,64,98.4,3,51,1,0,0
f53ce891,Inter,Yann Aurel Bisseck,31,GER,CB,24-011,90,0,0,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.0,1,0,47,54,87.0,5,43,3,0,0
f53ce891,Inter,Yann Sommer,1,SUI,GK,35-359,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,38,41,92.7,0,39,0,0,0
