match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f8e116ea,Atalanta,Ademola Lookman,11,NGA,FW,27-051,90,1,0,0,0,8,3,0,0,54,0,0,2,0.9,0.9,1.0,4,0,31,36,86.1,2,44,5,7,3
f8e116ea,Atalanta,Charles De Ketelaere,17,BEL,FW,23-275,73,1,0,1,1,2,1,0,0,40,1,0,0,0.9,0.1,0.2,4,1,23,30,76.7,4,39,5,3,2
f8e116ea,Atalanta,Mateo Retegui,32,ITA,FW,25-225,17,0,0,0,0,2,1,0,0,9,0,1,0,0.9,0.9,0.2,1,0,4,6,66.7,2,7,2,0,0
f8e116ea,Atalanta,Mario Pašalić,8,CRO,AM,29-305,57,0,0,0,0,0,0,0,0,50,1,0,0,0.0,0.0,0.0,6,1,41,48,85.4,5,41,3,1,1
f8e116ea,Atalanta,Lazar Samardzic,24,SRB,AM,22-290,33,0,1,0,0,2,2,0,0,34,0,0,0,0.1,0.1,0.2,7,1,27,31,87.1,6,26,1,2,1
f8e116ea,Atalanta,Éderson,13,BRA,CM,25-156,90,0,0,0,0,2,0,0,0,84,0,2,1,0.1,0.1,0.1,5,0,66,72,91.7,8,68,2,3,2
f8e116ea,Atalanta,Marten de Roon,15,NED,CM,33-256,90,0,0,0,0,0,0,0,0,86,3,0,3,0.0,0.0,0.2,2,0,69,78,88.5,6,68,0,1,1
f8e116ea,Atalanta,Matteo Ruggeri,22,ITA,WB,22-152,86,0,0,0,0,1,0,0,0,83,1,3,2,0.1,0.1,0.1,5,0,64,71,90.1,8,65,5,0,0
f8e116ea,Atalanta,Nicolò Zaniolo,10,ITA,WB,25-161,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,1,1,1
f8e116ea,Atalanta,Raoul Bellanova,16,ITA,WB,24-207,73,0,0,0,0,1,1,0,0,57,2,0,0,0.1,0.1,0.1,1,0,39,53,73.6,2,41,3,0,0
f8e116ea,Atalanta,Davide Zappacosta,77,ITA,WB,32-182,17,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,13,13,100.0,1,13,0,0,0
f8e116ea,Atalanta,Sead Kolašinac,23,BIH,CB,31-173,90,0,0,0,0,1,0,0,0,58,0,1,0,0.2,0.2,0.5,2,1,49,54,90.7,5,45,4,1,0
f8e116ea,Atalanta,Isak Hien,4,SWE,CB,25-332,90,0,0,0,0,0,0,0,0,60,2,1,0,0.0,0.0,0.0,0,0,49,55,89.1,3,39,2,1,0
f8e116ea,Atalanta,Berat Djimsiti,19,ALB,CB,31-295,73,0,0,0,0,0,0,0,0,48,0,1,2,0.0,0.0,0.0,0,0,36,40,90.0,2,27,0,0,0
f8e116ea,Atalanta,Odilon Kossounou,3,CIV,CB,23-341,17,0,0,0,0,0,0,1,0,11,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,9,0,2,2
f8e116ea,Atalanta,Marco Carnesecchi,29,ITA,GK,24-162,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,9,15,60.0,0,7,0,0,0
f8e116ea,Real Madrid,Kylian Mbappé,9,FRA,FW,25-356,35,1,0,0,0,3,3,0,0,18,0,0,0,0.9,0.9,0.0,1,1,10,11,90.9,0,11,3,2,1
f8e116ea,Real Madrid,Rodrygo,11,BRA,"LW,LM,FW",23-336,55,0,0,0,0,1,1,0,0,21,0,0,1,0.2,0.2,0.0,0,0,14,16,87.5,1,13,2,1,0
f8e116ea,Real Madrid,Vinicius Júnior,7,BRA,"FW,LW",24-151,90,1,1,0,0,1,1,0,0,49,0,1,0,0.2,0.2,0.2,2,1,26,41,63.4,2,34,2,2,2
f8e116ea,Real Madrid,Brahim Díaz,21,MAR,"RW,RM",25-129,83,0,1,0,0,1,0,0,0,51,2,1,0,0.2,0.2,0.8,5,2,34,43,79.1,4,35,2,6,4
f8e116ea,Real Madrid,Raúl Asencio,35,ESP,CB,21-301,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0
f8e116ea,Real Madrid,Jude Bellingham,5,ENG,"AM,LM,RM",21-164,86,1,0,0,0,1,1,0,0,57,1,2,1,0.2,0.2,0.6,5,1,37,43,86.0,5,37,0,8,5
f8e116ea,Real Madrid,Arda Güler,15,TUR,RM,19-289,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,2,3,0,0,0
f8e116ea,Real Madrid,Federico Valverde,8,URU,"DM,CM",26-141,90,0,0,0,0,2,0,0,0,49,2,2,1,0.0,0.0,0.1,2,0,35,39,89.7,1,25,1,0,0
f8e116ea,Real Madrid,Dani Ceballos,19,ESP,"DM,CM",28-125,83,0,0,0,0,0,0,0,0,63,2,2,0,0.0,0.0,0.0,1,0,50,52,96.2,1,40,1,2,0
f8e116ea,Real Madrid,Luka Modrić,10,CRO,CM,39-092,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0
f8e116ea,Real Madrid,Fran Garcia,20,ESP,LB,25-118,90,0,0,0,0,0,0,0,0,38,2,3,0,0.0,0.0,0.0,0,0,26,29,89.7,0,19,1,1,1
f8e116ea,Real Madrid,Antonio Rüdiger,22,GER,CB,31-282,90,0,0,0,0,1,0,0,0,59,3,1,0,0.4,0.4,0.0,0,0,46,51,90.2,3,31,0,0,0
f8e116ea,Real Madrid,Aurélien Tchouaméni,14,FRA,CB,24-318,90,0,0,0,0,0,0,1,0,66,1,1,4,0.0,0.0,0.0,0,0,55,56,98.2,1,42,0,0,0
f8e116ea,Real Madrid,Lucas Vázquez,17,ESP,RB,33-162,90,0,0,0,0,0,0,1,0,66,3,1,2,0.0,0.0,0.0,1,0,44,51,86.3,1,27,0,1,0
f8e116ea,Real Madrid,Thibaut Courtois,1,BEL,GK,32-213,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,1,1,35,50,70.0,0,39,0,0,0
