match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
165bcfab,Twente,Ricky van Wolfswinkel,9,NED,FW,36-017,90,1,0,1,1,1,1,0,0,14,0,0,0,0.9,0.1,0.0,0,0,8,10,80.0,0,1,0,1,0
165bcfab,Twente,Sayfallah Ltaief,30,TUN,LW,24-297,68,1,0,0,0,2,1,0,0,42,4,2,0,0.2,0.2,0.0,2,0,19,27,70.4,2,29,3,4,0
165bcfab,Twente,Naci Ünüvar,37,NED,LW,21-245,22,0,0,0,0,1,0,1,0,12,3,1,0,0.0,0.0,0.0,2,0,4,4,100.0,1,7,0,2,1
165bcfab,Twente,Daan Rots,11,NED,RW,23-203,90,0,0,0,0,1,1,0,0,47,4,0,0,0.0,0.0,0.1,6,1,26,37,70.3,2,23,5,3,1
165bcfab,Twente,Sem Steijn,14,NED,AM,23-088,81,0,0,0,0,3,1,0,0,37,2,0,0,0.3,0.3,0.0,2,0,15,25,60.0,4,22,2,2,0
165bcfab,Twente,Arno Verschueren,32,BEL,AM,27-311,9,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,1,0,0,0
165bcfab,Twente,Michal Sadílek,23,CZE,DM,25-258,90,0,0,0,0,1,0,0,0,51,2,0,1,0.1,0.1,0.0,1,0,40,48,83.3,2,18,1,0,0
165bcfab,Twente,Michel Vlap,18,NED,DM,27-256,90,0,1,0,0,2,1,0,0,77,5,1,4,0.0,0.0,0.1,2,1,45,59,76.3,4,36,0,0,0
165bcfab,Twente,Bas Kuipers,5,NED,LB,30-180,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.1,1,0,34,44,77.3,1,19,1,1,1
165bcfab,Twente,Gustaf Lagerbielke,3,SWE,CB,24-309,90,0,0,0,0,0,0,1,0,78,2,0,1,0.0,0.0,0.0,1,0,64,71,90.1,9,49,1,2,2
165bcfab,Twente,Mees Hilgers,2,IDN,CB,23-276,90,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,41,45,91.1,2,33,0,0,0
165bcfab,Twente,Bart van Rooij,28,NED,RB,23-263,90,0,0,0,0,2,1,0,0,87,4,0,0,0.1,0.1,0.1,6,0,62,75,82.7,6,45,6,5,2
165bcfab,Twente,Lars Unnerstall,1,GER,GK,34-208,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,0,14,0,0,0
165bcfab,Bodø/Glimt,Kasper Waarst Høgh,9,DEN,FW,24-069,66,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,1,11,0,0,0
165bcfab,Bodø/Glimt,Isak Määttä,25,NOR,"FW,RW",23-147,24,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,1,1,2,50.0,0,3,1,2,0
165bcfab,Bodø/Glimt,Jens Petter Hauge,23,NOR,LW,25-124,86,0,0,0,0,0,0,1,0,51,0,1,1,0.0,0.0,0.1,1,0,39,46,84.8,9,35,1,5,3
165bcfab,Bodø/Glimt,Andreas Helmersen,21,NOR,FW,26-335,4,0,0,0,0,1,0,0,0,4,0,1,0,0.2,0.2,0.0,0,0,2,2,100.0,0,3,0,0,0
165bcfab,Bodø/Glimt,Ole Didrik Blomberg,11,NOR,"RW,LW",24-246,90,0,0,0,0,0,0,0,0,49,1,2,2,0.0,0.0,0.2,4,0,31,34,91.2,4,31,2,6,4
165bcfab,Bodø/Glimt,Ulrik Saltnes,14,NOR,LM,32-095,86,0,0,0,0,0,0,0,0,30,0,0,2,0.0,0.0,0.0,1,0,16,19,84.2,2,16,0,3,0
165bcfab,Bodø/Glimt,Sondre Brunstad Fet,19,NOR,LM,28-027,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0
165bcfab,Bodø/Glimt,Patrick Berg,7,NOR,CM,27-081,90,1,0,0,0,2,2,0,0,75,5,0,3,0.1,0.1,0.0,0,0,55,60,91.7,7,45,1,1,0
165bcfab,Bodø/Glimt,Håkon Evjen,26,NOR,RM,24-365,90,0,0,0,0,1,0,0,0,47,5,0,1,0.1,0.1,0.1,2,0,26,30,86.7,2,26,1,4,2
165bcfab,Bodø/Glimt,Fredrik André Bjørkan,15,NOR,LB,26-176,90,0,0,0,0,1,0,1,0,72,4,3,0,0.0,0.0,0.0,0,0,53,60,88.3,4,50,3,5,2
165bcfab,Bodø/Glimt,Jostein Gundersen,6,NOR,CB,28-317,90,0,0,0,0,0,0,1,0,117,2,1,0,0.0,0.0,0.0,0,0,94,100,94.0,3,83,3,1,1
165bcfab,Bodø/Glimt,Villads Nielsen,2,DEN,CB,20-015,90,0,0,0,0,0,0,0,0,118,0,0,1,0.0,0.0,0.0,2,1,96,107,89.7,14,89,3,1,1
165bcfab,Bodø/Glimt,Fredrik Sjøvold,20,NOR,RB,21-180,86,0,0,0,0,0,0,0,0,52,4,0,1,0.0,0.0,0.0,0,0,35,41,85.4,2,36,1,3,2
165bcfab,Bodø/Glimt,Brice Wembangomo,5,NOR,RB,28-057,4,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,9,10,90.0,0,7,1,1,1
165bcfab,Bodø/Glimt,Nikita Haikin,12,RUS,GK,29-217,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,41,46,89.1,0,35,0,0,0
