match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1f1ad9d3,Ludogorets,Kwadwo Duah,9,SUI,FW,27-292,77,1,0,0,0,3,2,0,0,25,1,0,0,0.2,0.2,0.0,2,0,14,17,82.4,3,11,0,1,0
1f1ad9d3,Ludogorets,Rwan,12,BRA,FW,23-206,13,0,0,0,0,1,0,0,0,3,0,0,0,0.3,0.3,0.0,0,0,1,2,50.0,0,1,0,0,0
1f1ad9d3,Ludogorets,Rick,7,BRA,LW,25-101,90,0,0,0,0,1,0,0,0,45,0,0,0,0.0,0.0,0.1,5,1,22,34,64.7,5,34,9,9,6
1f1ad9d3,Ludogorets,Erick Marcus,77,BRA,RW,20-286,86,0,2,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.3,3,2,20,29,69.0,1,18,1,5,4
1f1ad9d3,Ludogorets,Aguibou Camara,20,GUI,RW,23-206,4,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,0,0,0
1f1ad9d3,Ludogorets,Jakub Piotrowski,6,POL,"LM,DM",27-069,86,0,0,0,0,1,0,0,0,65,3,0,2,0.0,0.0,0.0,5,0,42,52,80.8,3,39,3,4,1
1f1ad9d3,Ludogorets,Ivan Yordanov,82,BUL,DM,24-035,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
1f1ad9d3,Ludogorets,Pedrinho,30,BRA,"CM,DM",26-337,90,0,0,0,0,1,0,1,0,69,1,3,1,0.0,0.0,0.1,3,0,44,54,81.5,3,31,0,3,1
1f1ad9d3,Ludogorets,Ivaylo Chochev,18,BUL,"RM,AM",31-298,90,1,0,0,0,5,1,1,0,43,1,1,1,0.3,0.3,0.0,1,0,21,31,67.7,1,14,0,0,0
1f1ad9d3,Ludogorets,Denny Gropper,14,ISR,LB,25-271,90,0,0,0,0,1,0,0,0,49,1,2,0,0.0,0.0,0.1,3,1,27,33,81.8,4,24,1,2,1
1f1ad9d3,Ludogorets,Dinis Almeida,4,POR,CB,29-167,90,0,0,0,0,0,0,0,0,73,2,1,1,0.0,0.0,0.0,0,0,49,58,84.5,1,34,0,1,1
1f1ad9d3,Ludogorets,Olivier Verdon,24,BEN,CB,29-068,77,0,0,0,0,0,0,0,0,59,0,0,0,0.0,0.0,0.0,0,0,44,55,80.0,1,32,0,0,0
1f1ad9d3,Ludogorets,Aslak Witry,16,NOR,RB,28-277,13,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.4,2,0,9,11,81.8,1,5,0,0,0
1f1ad9d3,Ludogorets,Edvin Kurtulus,15,SWE,"RB,CB",24-282,90,0,0,0,0,0,0,0,0,51,0,0,2,0.0,0.0,0.1,1,0,36,45,80.0,1,27,0,1,1
1f1ad9d3,Ludogorets,Sergio Padt,1,NED,GK,34-189,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,0,32,46,69.6,0,29,0,0,0
1f1ad9d3,AZ Alkmaar,Troy Parrott,9,IRL,FW,22-312,69,0,0,0,0,1,0,0,0,27,1,0,1,0.1,0.1,0.4,4,0,15,20,75.0,7,8,0,0,0
1f1ad9d3,AZ Alkmaar,Mexx Meerdink,35,NED,FW,21-141,21,0,0,0,0,3,1,0,0,13,0,0,1,0.1,0.1,0.0,3,0,4,6,66.7,0,3,2,2,1
1f1ad9d3,AZ Alkmaar,Ruben van Bommel,7,NED,LW,20-131,78,1,0,0,0,6,3,0,0,47,1,1,1,1.6,1.6,0.1,6,0,26,36,72.2,7,29,5,3,3
1f1ad9d3,AZ Alkmaar,Ro-Zangelo Daal,37,NED,LW,20-306,12,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,3,0,1,1
1f1ad9d3,AZ Alkmaar,Ernest Poku,21,NED,RW,20-319,78,0,0,0,0,2,2,0,0,33,3,1,2,0.4,0.4,0.2,3,1,13,17,76.5,0,20,2,4,1
1f1ad9d3,AZ Alkmaar,Mayckel Lahdo,23,SWE,RW,21-348,12,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,0,2,3,66.7,0,5,1,0,0
1f1ad9d3,AZ Alkmaar,Jordy Clasie,8,NED,LM,33-168,90,0,0,0,0,0,0,0,0,72,1,0,1,0.0,0.0,0.0,2,1,55,62,88.7,7,24,1,0,0
1f1ad9d3,AZ Alkmaar,Sven Mijnans,10,NED,CM,24-278,90,0,0,0,0,3,0,0,0,65,5,0,1,0.2,0.2,0.2,5,1,33,50,66.0,8,24,2,2,0
1f1ad9d3,AZ Alkmaar,Peer Koopmeiners,6,NED,RM,24-222,69,0,0,0,0,0,0,1,0,59,2,2,1,0.0,0.0,0.5,3,0,41,47,87.2,5,26,1,0,0
1f1ad9d3,AZ Alkmaar,Zico Buurmeester,28,NED,RM,22-188,21,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,2,7,0,1,1
1f1ad9d3,AZ Alkmaar,David Møller Wolfe,18,NOR,LB,22-233,90,0,0,0,0,0,0,1,0,57,2,3,3,0.0,0.0,0.0,1,0,35,48,72.9,8,30,3,0,0
1f1ad9d3,AZ Alkmaar,Alexandre Penetra,5,POR,CB,23-094,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.0,0,0,49,55,89.1,2,36,0,0,0
1f1ad9d3,AZ Alkmaar,Wouter Goes,3,NED,CB,20-185,90,0,0,0,0,0,0,1,0,58,2,2,0,0.0,0.0,0.0,1,0,42,48,87.5,3,34,1,1,1
1f1ad9d3,AZ Alkmaar,Seiya Maikuma,16,JPN,RB,27-057,87,1,0,0,0,1,1,0,0,54,3,1,0,0.2,0.2,0.0,1,0,34,43,79.1,6,22,0,0,0
1f1ad9d3,AZ Alkmaar,Denso Kasius,30,NED,RB,22-067,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,0,0
1f1ad9d3,AZ Alkmaar,Rome-Jayden Owusu-Oduro,1,NED,GK,20-163,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,15,28,53.6,0,16,0,0,0
