match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
50752d2d,Athletic Club,Gorka Guruzeta,12,ESP,FW,28-140,88,0,0,0,0,2,0,0,0,24,1,1,1,0.2,0.2,0.0,1,0,13,16,81.3,1,9,0,0,0
50752d2d,Athletic Club,Javi Martón,19,ESP,FW,25-269,2,1,0,0,0,1,1,0,0,2,0,0,0,0.4,0.4,0.0,0,0,1,1,100.0,0,1,0,0,0
50752d2d,Athletic Club,Nico Williams,10,ESP,LW,22-202,88,1,0,0,0,3,2,0,0,64,0,0,1,0.8,0.8,0.3,7,1,41,48,85.4,4,31,3,7,3
50752d2d,Athletic Club,Unai Gómez,20,ESP,LW,21-250,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
50752d2d,Athletic Club,Iñaki Williams,9,GHA,RW,30-229,69,0,1,0,0,3,0,0,0,37,0,0,0,0.1,0.1,0.6,2,1,17,26,65.4,1,27,4,7,4
50752d2d,Athletic Club,Álvaro djaló,11,ESP,RW,25-167,21,0,0,0,0,1,0,1,0,12,1,0,0,0.1,0.1,0.0,0,0,5,6,83.3,0,4,1,2,2
50752d2d,Athletic Club,Álex Berenguer,7,ESP,AM,29-210,65,0,1,0,0,0,0,1,0,45,1,0,0,0.0,0.0,0.3,4,1,27,34,79.4,1,17,1,5,3
50752d2d,Athletic Club,Oihan Sancet,8,ESP,AM,24-280,25,0,1,0,0,2,2,0,0,14,0,0,0,0.1,0.1,0.4,4,1,8,9,88.9,1,10,2,1,1
50752d2d,Athletic Club,Mikel Jauregizar,23,ESP,DM,21-079,69,0,0,0,0,0,0,0,0,52,5,0,1,0.0,0.0,0.2,2,0,39,43,90.7,4,20,0,0,0
50752d2d,Athletic Club,Mikel Vesga,6,ESP,DM,31-254,21,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,10,13,76.9,0,8,0,0,0
