match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
8743d5b8,Lazio,Valentín Castellanos,11,ARG,FW,26-196,120,1,0,0,0,6,2,0,0,37,2,0,1,0.8,0.8,0.0,4,0,13,22,59.1,3,20,4,2,1
8743d5b8,Lazio,Mattia Zaccagni,10,ITA,LW,29-305,87,0,0,0,0,6,3,0,0,57,0,0,3,0.5,0.5,0.0,4,0,26,40,65.0,6,36,5,4,1
8743d5b8,Lazio,Tijjani Noslin,14,NED,LW,25-284,33,1,0,0,0,1,1,0,0,25,0,0,2,0.5,0.5,0.0,1,0,15,18,83.3,2,13,1,0,0
8743d5b8,Lazio,Gustav Isaksen,18,DEN,RW,23-363,84,0,1,0,0,4,0,0,0,51,1,0,0,0.3,0.3,0.6,8,1,25,34,73.5,2,35,7,9,3
8743d5b8,Lazio,Loum Tchaouna,20,FRA,RW,21-221,36,0,0,0,0,1,0,0,0,18,1,1,0,0.0,0.0,0.3,3,0,10,14,71.4,3,11,3,2,1
8743d5b8,Lazio,Pedro,9,ESP,AM,37-263,67,0,0,0,0,3,2,0,0,35,0,0,0,0.2,0.2,0.4,5,0,24,31,77.4,5,25,5,1,1
8743d5b8,Lazio,Boulaye Dia,19,SEN,AM,28-152,53,1,0,0,0,2,2,1,0,15,0,2,0,0.4,0.4,0.0,1,0,7,9,77.8,0,10,3,0,0
8743d5b8,Lazio,Mattéo Guendouzi,8,FRA,DM,26-003,120,0,1,0,0,0,0,0,0,91,4,1,3,0.0,0.0,0.4,6,1,75,81,92.6,18,74,5,4,2
8743d5b8,Lazio,Nicolò Rovella,6,ITA,DM,23-134,84,0,0,0,0,0,0,1,0,85,1,1,3,0.0,0.0,0.2,4,0,61,74,82.4,8,66,3,0,0
8743d5b8,Lazio,Matías Vecino,5,URU,DM,33-236,36,0,0,0,0,4,1,0,0,21,1,1,0,0.3,0.3,0.0,1,0,10,13,76.9,2,7,0,0,0
8743d5b8,Lazio,Adam Marušić,77,MNE,LB,32-182,67,0,0,0,0,1,0,0,0,44,1,0,0,0.1,0.1,0.1,4,0,25,37,67.6,6,31,1,1,0
8743d5b8,Lazio,Nuno Tavares,30,POR,LB,25-081,26,0,0,0,0,1,0,0,0,29,1,0,0,0.0,0.0,0.1,4,0,14,24,58.3,0,18,2,3,1
8743d5b8,Lazio,Elseid Hysaj,23,ALB,LB,31-056,27,0,0,0,0,0,0,0,0,27,0,2,0,0.0,0.0,0.0,1,1,16,22,72.7,1,11,0,1,0
8743d5b8,Lazio,Alessio Romagnoli,13,ITA,CB,30-095,120,0,1,0,0,2,0,0,0,81,3,1,2,0.6,0.6,0.5,3,1,65,68,95.6,6,50,1,0,0
8743d5b8,Lazio,Mario Gila,34,ESP,CB,24-231,120,0,0,0,0,0,0,0,0,89,5,3,0,0.0,0.0,0.7,2,0,64,74,86.5,5,60,0,1,1
8743d5b8,Lazio,Manuel Lazzari,29,ITA,RB,31-139,120,0,0,0,0,2,0,1,0,74,2,1,6,0.1,0.1,0.2,4,0,48,55,87.3,3,41,8,2,1
8743d5b8,Lazio,Christos Mandas,35,GRE,GK,23-212,120,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,2,0,22,32,68.8,1,30,0,0,0
8743d5b8,Bodø/Glimt,Kasper Waarst Høgh,9,DEN,FW,24-132,75,0,0,0,0,1,1,1,0,17,0,0,1,0.2,0.2,0.0,1,0,3,7,42.9,0,8,0,0,0
8743d5b8,Bodø/Glimt,Andreas Helmersen,21,NOR,FW,27-033,44,1,0,0,0,3,3,2,1,15,1,0,0,0.9,0.9,0.0,0,0,10,10,100.0,2,8,2,0,0
8743d5b8,Bodø/Glimt,Jens Petter Hauge,23,NOR,"LW,LM",25-187,120,0,0,0,0,2,0,0,0,77,4,0,0,0.1,0.1,1.0,4,0,42,57,73.7,2,53,4,7,0
8743d5b8,Bodø/Glimt,Ole Didrik Blomberg,11,NOR,RW,24-309,75,0,0,0,0,1,1,0,0,19,1,0,0,0.1,0.1,0.0,0,0,6,13,46.2,1,13,1,0,0
8743d5b8,Bodø/Glimt,Isak Määttä,25,NOR,"LB,RM,RW",23-210,45,0,1,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.1,1,1,20,22,90.9,3,20,1,1,1
8743d5b8,Bodø/Glimt,Ulrik Saltnes,14,NOR,LM,32-158,56,0,0,0,0,0,0,0,0,26,1,2,2,0.0,0.0,0.0,2,0,12,15,80.0,2,18,3,1,1
8743d5b8,Bodø/Glimt,Sondre Brunstad Fet,19,NOR,"LM,CM",28-090,64,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,1,0,11,15,73.3,1,10,1,3,2
8743d5b8,Bodø/Glimt,Patrick Berg,7,NOR,CM,27-144,120,0,0,0,0,2,1,1,0,92,3,3,0,0.1,0.1,0.0,5,1,58,71,81.7,5,42,2,1,1
8743d5b8,Bodø/Glimt,Håkon Evjen,26,NOR,RM,25-062,88,0,0,0,0,1,1,1,0,31,4,1,0,0.1,0.1,0.0,1,0,17,22,77.3,2,25,3,0,0
8743d5b8,Bodø/Glimt,Brede Moe,18,NOR,CB,33-123,32,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,1,0,27,30,90.0,0,20,0,0,0
8743d5b8,Bodø/Glimt,Fredrik André Bjørkan,15,NOR,LB,26-239,102,0,0,0,0,0,0,0,0,70,4,0,3,0.0,0.0,0.1,2,0,45,59,76.3,3,46,3,5,4
8743d5b8,Bodø/Glimt,Sondre Sørli,27,NOR,"RW,RM",29-169,18,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
8743d5b8,Bodø/Glimt,Jostein Gundersen,6,NOR,CB,29-015,120,0,0,0,0,1,1,0,0,92,1,0,3,0.0,0.0,0.1,1,0,68,75,90.7,3,63,0,1,0
8743d5b8,Bodø/Glimt,Odin Lurås Bjørtuft,4,NOR,CB,26-119,104,0,0,0,0,0,0,0,0,71,1,1,5,0.0,0.0,0.0,1,0,39,50,78.0,2,40,1,0,0
8743d5b8,Bodø/Glimt,Jeppe Kjær,95,DEN,RM,21-047,16,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
8743d5b8,Bodø/Glimt,Fredrik Sjøvold,20,NOR,RB,21-243,120,0,0,0,0,0,0,1,0,68,5,0,0,0.0,0.0,0.0,0,0,41,53,77.4,4,30,2,1,1
8743d5b8,Bodø/Glimt,Nikita Haikin,12,RUS,GK,29-280,120,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,38,54,70.4,0,41,0,0,0
