match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
fe61f249,Elfsborg,Michael Baidoo,10,GHA,FW,25-177,75,0,0,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.0,3,0,13,21,61.9,1,13,0,0,0
fe61f249,Elfsborg,Emil Holten,12,DEN,FW,28-091,15,1,0,0,0,2,2,0,0,5,0,0,0,0.4,0.4,0.0,0,0,2,2,100.0,1,3,0,0,0
fe61f249,Elfsborg,Ahmed Qasem,18,SWE,LW,21-118,75,0,0,0,0,1,0,0,0,28,0,0,2,0.0,0.0,0.0,0,0,11,17,64.7,1,15,0,1,1
fe61f249,Elfsborg,Rami Kaib,19,TUN,LW,27-183,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,7,0,0,0
fe61f249,Elfsborg,Arber Zeneli,9,KVX,RW,29-256,75,0,0,0,0,1,0,0,0,34,0,1,1,0.0,0.0,0.0,1,0,16,26,61.5,3,20,2,5,2
fe61f249,Elfsborg,Gottfrid Rapp,20,SWE,RW,19-081,15,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.4,2,1,3,4,75.0,0,4,2,0,0
fe61f249,Elfsborg,Niklas Hult,23,SWE,LM,34-268,90,0,0,0,0,0,0,0,0,60,4,2,2,0.0,0.0,0.0,0,0,35,47,74.5,5,26,2,1,0
fe61f249,Elfsborg,Andri Fannar Baldursson,6,ISL,CM,22-302,90,0,0,0,0,0,0,1,0,40,2,2,3,0.0,0.0,0.0,2,0,18,29,62.1,5,16,0,1,0
fe61f249,Elfsborg,Timothy Ouma,16,KEN,CM,20-150,90,0,0,0,0,1,0,0,0,62,2,3,0,0.0,0.0,0.0,0,0,32,48,66.7,3,32,0,3,2
fe61f249,Elfsborg,Simon Hedlund,15,SWE,RM,31-241,90,0,0,0,0,0,0,1,0,30,3,3,2,0.0,0.0,0.0,0,0,11,19,57.9,2,15,0,3,1
fe61f249,Elfsborg,Terry Yegbe,2,GHA,CB,23-287,90,0,0,0,0,1,0,0,0,75,2,2,0,0.0,0.0,0.0,0,0,37,64,57.8,2,38,1,0,0
fe61f249,Elfsborg,Sebastian Holmén,8,SWE,CB,32-192,90,0,0,0,0,0,0,0,0,63,0,3,2,0.0,0.0,0.0,0,0,42,55,76.4,3,32,0,0,0
fe61f249,Elfsborg,Ibrahim Buhari,29,NGA,CB,23-030,90,0,0,0,0,1,1,0,0,55,3,5,3,0.0,0.0,0.0,2,1,21,37,56.8,4,20,1,0,0
fe61f249,Elfsborg,Isak Pettersson,31,SWE,GK,27-154,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,27,38,71.1,0,30,0,0,0
fe61f249,Braga,Roberto Férnandez,90,ESP,FW,22-127,45,0,0,0,0,1,0,0,0,15,0,0,0,0.5,0.5,0.0,1,0,6,10,60.0,0,8,1,4,1
fe61f249,Braga,Amine El Ouazzani,9,MAR,FW,23-115,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,8,0,1,0
fe61f249,Braga,Ismaël Gharbi,20,ESP,AM,20-211,60,0,0,0,0,1,0,0,0,41,2,0,0,0.0,0.0,0.4,4,0,26,33,78.8,2,24,3,4,3
fe61f249,Braga,Bruma,7,POR,AM,30-014,30,0,0,0,0,2,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,14,14,100.0,0,11,2,1,1
fe61f249,Braga,Ricardo Horta,21,POR,AM,30-053,86,0,0,0,0,1,0,0,0,57,1,0,1,0.1,0.1,0.0,0,0,39,46,84.8,4,36,1,1,0
fe61f249,Braga,João Marques,33,POR,AM,22-268,4,0,0,0,0,0,0,1,0,6,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,0,0
fe61f249,Braga,João Moutinho,8,POR,CM,38-060,67,0,0,0,0,0,0,0,0,75,4,0,0,0.0,0.0,0.0,1,0,58,70,82.9,12,43,2,0,0
fe61f249,Braga,André Horta,10,POR,CM,28-000,23,0,0,0,0,2,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,13,17,76.5,2,11,0,0,0
fe61f249,Braga,Vitor Carvalho,6,BRA,CM,27-164,67,0,0,0,0,1,0,0,0,53,1,1,1,0.0,0.0,0.0,1,0,33,46,71.7,4,28,0,0,0
fe61f249,Braga,Jean Gorby,29,FRA,CM,22-105,23,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,2,0,15,15,100.0,0,10,0,0,0
fe61f249,Braga,Gabri Martínez,77,ESP,WB,21-290,90,0,0,0,0,1,0,0,0,72,1,1,1,0.0,0.0,0.6,3,0,36,56,64.3,5,36,7,6,3
fe61f249,Braga,Roger Fernandes,11,GNB,WB,18-352,90,0,0,0,0,1,0,0,0,71,4,0,3,0.1,0.1,0.1,2,0,37,51,72.5,7,47,4,5,1
fe61f249,Braga,Bright Arrey-Mbi,26,GER,CB,21-226,90,0,0,0,0,1,1,0,0,91,1,2,0,0.4,0.4,0.0,1,0,76,83,91.6,4,50,0,2,2
fe61f249,Braga,Paulo Oliveira,15,POR,CB,32-304,90,0,0,0,0,0,0,1,0,96,1,1,2,0.0,0.0,0.0,0,0,68,85,80.0,2,55,0,0,0
fe61f249,Braga,João Ferreira,13,POR,CB,23-230,90,0,0,0,0,0,0,0,0,114,1,2,0,0.0,0.0,0.0,1,0,81,105,77.1,6,59,0,2,2
fe61f249,Braga,Lukáš Horníček,91,CZE,GK,22-117,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,29,40,72.5,0,31,0,0,0
