match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
05b3f0b6,Anderlecht,Luis Vázquez,20,ARG,FW,23-274,90,0,0,0,0,1,1,0,0,20,1,0,1,0.5,0.5,0.0,3,1,15,16,93.8,1,10,0,1,1
05b3f0b6,Anderlecht,Tristan Degreef,83,BEL,LW,19-279,45,0,0,0,0,0,0,1,0,35,1,0,1,0.0,0.0,0.0,1,0,20,24,83.3,3,27,4,2,1
05b3f0b6,Anderlecht,Samuel Edozie,27,ENG,LW,21-270,45,1,0,0,0,1,1,0,0,28,0,0,0,0.2,0.2,0.0,1,0,17,23,73.9,1,17,3,5,2
05b3f0b6,Anderlecht,Anders Dreyer,36,DEN,RW,26-175,90,1,0,0,0,3,3,0,0,62,0,0,0,0.4,0.4,0.1,4,0,43,57,75.4,5,33,3,2,1
05b3f0b6,Anderlecht,Mario Stroeykens,29,BEL,AM,20-025,58,0,0,0,0,2,0,0,0,58,3,0,0,0.2,0.2,0.0,2,0,41,47,87.2,5,32,3,2,1
05b3f0b6,Anderlecht,Yari Verschaeren,10,BEL,AM,23-104,32,0,0,0,0,1,1,0,0,23,1,0,0,0.4,0.4,0.0,3,0,16,19,84.2,4,16,1,1,0
05b3f0b6,Anderlecht,Majeed Ashimeru,18,GHA,DM,27-014,58,0,0,0,0,2,0,0,0,66,3,1,0,0.1,0.1,0.2,5,0,56,60,93.3,7,42,1,1,1
05b3f0b6,Anderlecht,Kasper Dolberg,12,DEN,DM,27-018,32,0,1,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.3,1,1,6,6,100.0,1,3,0,0,0
05b3f0b6,Anderlecht,Mats Rits,23,BEL,DM,31-098,90,0,0,0,0,1,0,0,0,82,3,1,1,0.0,0.0,0.0,4,0,64,75,85.3,8,45,1,0,0
05b3f0b6,Anderlecht,Ludwig Augustinsson,6,SWE,LB,30-186,74,0,0,0,0,1,0,0,0,60,1,0,0,0.0,0.0,0.1,2,0,50,57,87.7,6,31,4,0,0
05b3f0b6,Anderlecht,Moussa N'Diaye,5,SEN,LB,22-128,16,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,19,20,95.0,2,15,0,2,1
05b3f0b6,Anderlecht,Leander Dendoncker,32,BEL,CB,29-192,90,0,0,0,0,0,0,0,0,136,2,4,1,0.0,0.0,0.0,2,0,123,128,96.1,10,98,5,0,0
05b3f0b6,Anderlecht,Jan-Carlo Simic,4,SRB,CB,19-175,90,0,1,0,0,2,0,0,0,92,2,1,0,0.3,0.3,0.5,3,1,75,80,93.8,11,63,0,1,1
05b3f0b6,Anderlecht,Thomas Foket,25,BEL,RB,30-029,82,0,0,0,0,2,1,1,0,72,4,3,0,0.1,0.1,0.5,1,0,48,58,82.8,3,28,3,0,0
05b3f0b6,Anderlecht,Killian Sardella,54,BEL,RB,22-175,8,0,0,0,0,1,0,1,0,7,2,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,2,0,0,0
05b3f0b6,Anderlecht,Colin Coosemans,26,BEL,GK,32-082,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,23,34,67.6,1,16,0,0,0
05b3f0b6,Ludogorets,Kwadwo Duah,9,SUI,FW,27-243,74,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.0,0,0,9,13,69.2,0,10,1,2,1
05b3f0b6,Ludogorets,Rwan,12,BRA,FW,23-157,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0
05b3f0b6,Ludogorets,Rick,7,BRA,LW,25-052,90,0,0,0,0,2,0,1,0,42,3,1,1,0.1,0.1,0.0,2,0,15,22,68.2,3,30,5,8,3
05b3f0b6,Ludogorets,Caio Vidal,11,BRA,RW,23-355,29,0,0,0,0,0,0,0,1,13,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,10,2,0,0
05b3f0b6,Ludogorets,Deroy Duarte,23,CPV,LM,25-112,74,0,0,0,0,1,1,0,0,22,4,0,2,0.0,0.0,0.0,1,0,9,14,64.3,0,13,0,0,0
05b3f0b6,Ludogorets,Erick Marcus,77,BRA,LM,20-237,16,0,0,0,0,1,0,0,0,5,0,0,2,0.0,0.0,0.0,1,0,1,2,50.0,0,4,1,2,1
05b3f0b6,Ludogorets,Pedrinho,30,BRA,CM,26-288,90,0,0,0,0,1,1,1,0,39,0,3,1,0.0,0.0,0.0,0,0,21,28,75.0,1,16,0,1,0
05b3f0b6,Ludogorets,Ivaylo Chochev,18,BUL,RM,31-249,86,0,0,0,0,0,0,1,0,34,4,1,1,0.0,0.0,0.0,0,0,18,21,85.7,0,16,0,0,0
05b3f0b6,Ludogorets,Aguibou Camara,20,GUI,RM,23-157,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
05b3f0b6,Ludogorets,Son,17,ESP,LB,30-208,86,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.0,2,0,31,36,86.1,2,23,3,0,0
05b3f0b6,Ludogorets,Denny Gropper,14,ISR,LB,25-222,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
05b3f0b6,Ludogorets,Dinis Almeida,4,POR,CB,29-118,90,0,0,0,0,2,0,0,0,44,2,1,0,0.7,0.7,0.0,1,0,25,32,78.1,0,28,0,0,0
05b3f0b6,Ludogorets,Olivier Verdon,24,BEN,CB,29-019,90,0,0,0,0,0,0,1,0,56,3,2,5,0.0,0.0,0.0,0,0,34,40,85.0,1,37,1,1,0
05b3f0b6,Ludogorets,Aslak Witry,16,NOR,RB,28-228,90,0,0,0,0,0,0,0,0,59,4,3,0,0.0,0.0,0.0,1,0,37,50,74.0,0,30,2,0,0
05b3f0b6,Ludogorets,Hendrik Bonmann,39,GER,GK,30-276,90,0,0,0,0,0,0,1,0,40,0,1,0,0.0,0.0,0.0,1,0,28,38,73.7,0,25,0,0,0
