match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0f328fae,PAOK,Brandon,71,ESP,FW,29-312,61,1,0,0,0,2,1,0,0,20,1,0,1,0.9,0.9,0.0,1,1,10,14,71.4,2,16,0,1,0
0f328fae,PAOK,Fyodor Chalov,9,RUS,FW,26-246,29,1,0,0,0,2,2,0,0,18,0,0,0,0.8,0.8,0.1,2,0,10,14,71.4,2,16,1,0,0
0f328fae,PAOK,Taison,11,BRA,LW,36-334,73,1,0,0,0,1,1,1,0,43,2,0,0,0.1,0.1,0.1,3,0,33,37,89.2,6,32,5,5,4
0f328fae,PAOK,Kiril Despodov,77,BUL,RW,28-031,17,1,1,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.6,5,3,6,6,100.0,2,6,2,0,0
0f328fae,PAOK,Andrija Živković,14,SRB,"RW,LW",28-154,82,1,1,1,1,0,0,0,0,53,2,0,3,0.8,0.0,0.9,6,2,37,46,80.4,4,34,3,6,4
0f328fae,PAOK,Shola Shoretire,47,ENG,LW,20-314,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
0f328fae,PAOK,Giannis Konstantelias,7,GRE,AM,21-282,90,0,1,0,0,3,1,0,0,29,2,1,0,0.2,0.2,0.1,3,3,13,20,65.0,2,21,3,1,0
0f328fae,PAOK,Magomed Ozdoyev,27,RUS,DM,32-037,90,0,0,0,0,1,0,0,0,46,5,1,1,0.1,0.1,0.3,2,0,27,36,75.0,1,29,0,0,0
0f328fae,PAOK,Mohamed Camara,2,GUI,DM,27-288,82,0,0,0,0,1,0,1,0,45,1,2,2,0.1,0.1,0.0,1,0,32,36,88.9,0,34,0,0,0
0f328fae,PAOK,Stefan Schwab,22,AUT,DM,34-076,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
0f328fae,PAOK,Baba Rahman,21,GHA,LB,30-163,90,0,0,0,0,0,0,0,0,59,2,2,0,0.0,0.0,0.0,1,0,45,53,84.9,4,34,4,4,3
0f328fae,PAOK,Giannis Michailidis,5,GRE,CB,24-298,90,0,0,0,0,0,0,0,0,67,1,1,0,0.0,0.0,0.0,0,0,48,60,80.0,3,50,0,0,0
