match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1420cbbf,Beşiktaş,Ciro Immobile,17,ITA,FW,34-337,68,0,0,0,0,1,1,1,0,20,0,0,0,0.1,0.1,0.0,1,0,8,16,50.0,1,13,1,1,0
1420cbbf,Beşiktaş,Semih Kılıçsoy,9,TUR,FW,19-160,22,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,1,2,2,100.0,0,3,0,2,0
1420cbbf,Beşiktaş,Ernest Muçi,23,ALB,"LW,RW",23-309,86,0,0,0,0,1,1,0,0,34,1,1,3,0.0,0.0,0.0,1,1,19,24,79.2,4,21,4,1,1
1420cbbf,Beşiktaş,Onur Bulut,4,TUR,RW,30-281,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
1420cbbf,Beşiktaş,Milot Rashica,7,KVX,RW,28-208,78,2,0,0,0,4,2,1,0,43,1,0,0,0.5,0.5,0.6,3,0,25,32,78.1,5,31,2,3,2
1420cbbf,Beşiktaş,João Mário,18,POR,LW,32-003,12,1,0,1,1,0,0,0,0,7,0,0,0,0.8,0.0,0.0,2,1,3,5,60.0,0,3,1,1,1
1420cbbf,Beşiktaş,Rafa Silva,27,POR,AM,31-250,86,1,2,0,0,3,3,0,0,47,2,2,1,1.4,1.4,0.4,8,4,31,37,83.8,4,31,3,6,3
1420cbbf,Beşiktaş,Cher Ndour,73,ITA,DM,20-179,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
1420cbbf,Beşiktaş,Almoatasem Al Musrati,6,LBY,DM,28-291,90,0,0,0,0,0,0,0,0,50,1,0,1,0.0,0.0,0.0,1,0,38,45,84.4,3,27,0,0,0
1420cbbf,Beşiktaş,Gedson Fernandes,83,POR,"DM,AM",26-013,90,0,0,0,0,1,0,0,0,56,4,0,2,0.0,0.0,0.2,1,0,39,45,86.7,3,23,1,1,1
