match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2477c7a7,Porto,Samu Omorodion,9,ESP,FW,20-151,77,2,0,0,0,5,3,1,0,28,0,0,0,0.8,0.8,0.1,3,0,13,17,76.5,1,12,1,0,0
2477c7a7,Porto,Marko Grujić,8,SRB,CM,28-173,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0
2477c7a7,Porto,Galeno,13,BRA,"LW,LM",26-347,90,0,0,0,0,3,1,0,0,37,3,3,1,0.2,0.2,0.1,2,0,15,20,75.0,0,21,4,1,0
2477c7a7,Porto,Pepê,11,BRA,RW,27-222,62,1,1,0,0,1,1,0,0,25,1,1,0,0.4,0.4,0.2,1,1,13,19,68.4,2,15,1,1,0
2477c7a7,Porto,Martim Fernandes,52,POR,RB,18-259,28,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.4,3,0,14,16,87.5,2,12,0,0,0
2477c7a7,Porto,Nicolás González,16,ESP,"LM,CM",22-274,90,0,0,0,0,0,0,0,0,59,2,1,0,0.0,0.0,0.2,6,4,36,48,75.0,9,32,1,2,1
2477c7a7,Porto,Alan Varela,22,ARG,"CM,FW",23-091,89,0,0,0,0,0,0,0,0,48,1,1,1,0.0,0.0,0.1,1,0,34,44,77.3,2,28,1,0,0
2477c7a7,Porto,Danny Loader,19,CMR,"FW,CM",24-036,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
2477c7a7,Porto,Stephen Eustáquio,6,CAN,"RM,CM",27-287,77,0,0,0,0,0,0,0,0,50,0,1,4,0.0,0.0,0.0,3,0,37,42,88.1,3,31,0,1,1
2477c7a7,Porto,Fabio Vieira,10,POR,"RW,RM",24-126,13,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,1,2,1,0,0
2477c7a7,Porto,Moura,74,POR,LB,25-048,90,0,0,0,0,1,1,0,0,42,1,1,2,0.2,0.2,0.2,1,0,18,29,62.1,1,22,2,2,1
2477c7a7,Porto,Nehuén Pérez,24,ARG,CB,24-101,90,0,0,0,0,0,0,0,0,73,1,0,2,0.0,0.0,0.0,0,0,61,64,95.3,5,53,0,0,0
2477c7a7,Porto,Zé Pedro Figueiredo,97,POR,CB,27-119,90,0,0,0,0,0,0,0,0,72,0,1,1,0.0,0.0,0.0,0,0,54,63,85.7,4,52,1,0,0
2477c7a7,Porto,João Mário Lopes,23,POR,"RB,RM",24-274,77,0,1,0,0,2,0,0,0,64,4,1,2,0.1,0.1,0.3,2,1,38,47,80.9,5,36,2,4,0
2477c7a7,Porto,Deniz Gül,27,TUR,FW,20-093,13,0,0,0,0,1,1,0,0,7,0,0,0,0.4,0.4,0.0,1,0,2,3,66.7,0,4,1,0,0
2477c7a7,Porto,Diogo Costa,99,POR,GK,25-014,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,33,42,78.6,0,31,0,0,0
2477c7a7,Manchester Utd,Rasmus Højlund,9,DEN,FW,21-242,67,1,0,0,0,2,1,0,0,15,0,0,1,0.2,0.2,0.0,1,0,5,6,83.3,2,7,0,2,0
2477c7a7,Manchester Utd,Joshua Zirkzee,11,NED,FW,23-134,23,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0
2477c7a7,Manchester Utd,Marcus Rashford,10,ENG,LW,26-338,45,1,1,0,0,3,1,0,0,27,1,0,1,0.2,0.2,0.1,5,2,16,20,80.0,0,19,6,3,3
2477c7a7,Manchester Utd,Alejandro Garnacho,17,ARG,LW,20-094,45,0,0,0,0,8,2,0,0,33,1,0,0,0.3,0.3,0.0,3,1,15,19,78.9,2,26,3,3,0
2477c7a7,Manchester Utd,Amad Diallo,16,CIV,RW,22-084,67,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.1,4,0,24,24,100.0,2,19,2,0,0
2477c7a7,Manchester Utd,Antony,21,BRA,RW,24-222,23,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,6,9,66.7,0,9,0,2,1
2477c7a7,Manchester Utd,Bruno Fernandes,8,POR,AM,30-025,80,0,0,0,0,3,0,2,1,66,3,0,0,0.1,0.1,0.2,8,0,46,55,83.6,10,39,1,1,0
2477c7a7,Manchester Utd,Christian Eriksen,14,DEN,DM,32-232,90,0,2,0,0,0,0,0,0,60,2,0,0,0.0,0.0,0.4,10,3,44,56,78.6,5,31,3,1,1
2477c7a7,Manchester Utd,Casemiro,18,BRA,DM,32-223,90,0,0,0,0,4,1,0,0,70,2,3,2,0.3,0.3,0.1,6,0,51,59,86.4,1,37,0,1,1
2477c7a7,Manchester Utd,Diogo Dalot,20,POR,LB,25-199,90,0,0,0,0,2,0,0,0,72,3,0,0,0.2,0.2,0.0,4,0,54,63,85.7,5,33,0,1,0
2477c7a7,Manchester Utd,Lisandro Martínez,6,ARG,CB,26-259,77,0,0,0,0,1,0,0,0,68,1,1,1,0.0,0.0,0.0,2,0,53,59,89.8,9,43,1,0,0
2477c7a7,Manchester Utd,Harry Maguire,5,ENG,CB,31-212,13,1,0,0,0,1,1,0,0,20,0,0,1,0.1,0.1,0.0,1,0,14,16,87.5,2,9,0,0,0
2477c7a7,Manchester Utd,Matthijs de Ligt,4,NED,CB,25-052,77,0,0,0,0,1,1,0,0,59,1,0,0,0.0,0.0,0.2,1,0,43,48,89.6,0,28,0,0,0
2477c7a7,Manchester Utd,Jonny Evans,35,NIR,CB,36-274,13,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,1,8,0,0,0
2477c7a7,Manchester Utd,Noussair Mazraoui,3,MAR,RB,26-324,90,0,0,0,0,1,1,0,0,74,2,2,2,0.0,0.0,0.0,3,0,54,60,90.0,6,33,3,0,0
2477c7a7,Manchester Utd,André Onana,24,CMR,GK,28-184,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,20,24,83.3,0,16,0,0,0
