match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
32459c10,FCSB,Daniel Birligea,9,ROU,FW,24-223,66,0,0,0,0,2,1,2,1,33,1,0,3,0.2,0.2,0.0,1,0,14,19,73.7,1,18,1,4,1
32459c10,FCSB,Florin Tănase,7,ROU,LW,29-334,82,0,0,0,0,0,0,1,0,39,2,1,2,0.0,0.0,0.0,1,0,22,27,81.5,2,21,1,5,2
32459c10,FCSB,Daniel Popa,19,ROU,LW,30-137,8,0,0,0,0,0,0,1,0,8,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,0,0
32459c10,FCSB,David Miculescu,11,ROU,RW,23-210,90,0,0,0,0,2,0,0,0,36,0,1,1,0.1,0.1,0.0,0,0,16,24,66.7,1,18,1,2,0
32459c10,FCSB,Darius Olaru,27,ROU,AM,26-270,90,0,0,0,0,2,1,0,0,69,1,0,1,0.0,0.0,0.1,5,0,23,49,46.9,1,38,3,7,2
32459c10,FCSB,Adrian Șut,8,ROU,DM,25-212,90,0,0,0,0,3,0,0,0,59,3,1,2,0.1,0.1,0.0,1,0,28,44,63.6,3,21,0,0,0
32459c10,FCSB,Malcolm Edjouma,18,FRA,DM,28-051,90,0,0,0,0,0,0,1,0,42,2,2,1,0.0,0.0,0.0,2,0,23,36,63.9,1,16,0,0,0
32459c10,FCSB,Risto Radunović,33,MNE,LB,32-208,90,0,0,0,0,0,0,0,0,57,1,2,0,0.0,0.0,0.1,4,0,33,50,66.0,3,24,2,2,1
32459c10,FCSB,Mihai Popescu,17,ROU,CB,31-205,90,0,0,0,0,1,0,0,0,44,3,2,0,0.0,0.0,0.0,0,0,14,31,45.2,3,18,0,0,0
32459c10,FCSB,Siyabonga Ngezana,30,RSA,CB,27-136,29,0,0,0,0,0,0,0,0,13,1,2,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,0,0,0
32459c10,FCSB,Joyskim Dawa,5,CMR,CB,28-233,61,0,0,0,0,0,0,0,0,25,1,1,1,0.0,0.0,0.0,0,0,10,16,62.5,2,6,0,0,0
32459c10,FCSB,Valentin Crețu,2,ROU,RB,35-331,90,0,0,0,0,0,0,0,0,52,4,1,1,0.0,0.0,0.0,1,0,26,38,68.4,2,10,0,0,0
32459c10,FCSB,Stefan Târnovanu,32,ROU,GK,24-203,90,0,0,0,0,0,0,1,0,28,0,0,0,0.0,0.0,0.0,0,0,10,27,37.0,0,7,0,0,0
