match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
3888b764,Twente,Sam Lammers,10,NED,FW,27-156,90,0,0,0,0,2,1,0,0,32,0,0,0,0.5,0.5,0.5,4,0,15,21,71.4,4,24,0,2,0
3888b764,Twente,Mitchell van Bergen,7,NED,LW,25-037,66,0,0,0,0,2,2,0,0,27,0,1,1,0.1,0.1,0.3,3,0,13,19,68.4,2,19,5,2,1
3888b764,Twente,Sayfallah Ltaief,30,TUN,LW,24-164,24,0,0,0,0,1,1,0,0,14,0,0,0,0.1,0.1,0.0,1,0,7,10,70.0,4,10,4,5,4
3888b764,Twente,Ricky van Wolfswinkel,9,NED,RW,35-250,90,0,0,0,0,1,0,0,0,27,0,0,2,0.1,0.1,0.0,1,0,13,18,72.2,1,12,0,1,1
3888b764,Twente,Sem Steijn,14,NED,AM,22-321,87,0,0,0,0,3,1,0,0,33,1,1,1,0.1,0.1,0.0,3,1,18,27,66.7,4,20,2,2,1
3888b764,Twente,Daan Rots,11,NED,AM,23-070,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
3888b764,Twente,Michel Vlap,18,NED,DM,27-123,66,1,0,0,0,3,3,1,0,62,3,0,1,0.5,0.5,0.3,6,0,39,49,79.6,3,27,0,4,1
3888b764,Twente,Mathias Kjølø,4,NOR,DM,23-098,24,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,12,12,100.0,1,7,0,0,0
3888b764,Twente,Youri Regeer,8,NED,DM,21-046,90,0,1,0,0,1,1,0,0,69,2,0,2,0.4,0.4,0.4,3,1,51,56,91.1,6,32,1,2,1
3888b764,Twente,Anass Salah-Eddine,34,NED,LB,22-259,90,0,0,0,0,0,0,0,0,62,1,3,0,0.0,0.0,0.0,1,0,38,50,76.0,2,35,2,1,0
3888b764,Twente,Max Bruns,38,NED,CB,21-332,90,0,0,0,0,0,0,0,0,65,2,1,1,0.0,0.0,0.0,0,0,50,54,92.6,6,33,0,0,0
3888b764,Twente,Mees Hilgers,2,IDN,CB,23-143,90,0,0,0,0,1,0,1,0,84,1,1,1,0.1,0.1,0.0,1,0,60,75,80.0,6,50,2,1,1
3888b764,Twente,Bart van Rooij,28,NED,RB,23-130,90,0,0,0,0,0,0,0,0,69,2,1,0,0.0,0.0,0.3,1,0,50,62,80.6,1,36,0,2,2
3888b764,Twente,Lars Unnerstall,1,GER,GK,34-075,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,27,38,71.1,0,22,0,0,0
3888b764,Fenerbahçe,Youssef En-Nesyri,19,MAR,FW,27-124,61,0,0,0,0,2,1,0,0,17,0,0,0,0.1,0.1,0.0,2,0,7,9,77.8,2,9,1,3,1
3888b764,Fenerbahçe,Edin Džeko,9,BIH,FW,38-200,29,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,3,9,0,0,0
3888b764,Fenerbahçe,Dušan Tadić,10,SRB,LW,35-318,79,1,0,0,0,1,1,0,0,29,1,0,1,0.6,0.6,0.1,3,0,14,18,77.8,4,17,0,0,0
3888b764,Fenerbahçe,İsmail Yüksek,5,TUR,LW,25-251,11,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,9,0,1,1
3888b764,Fenerbahçe,İrfan Kahveci,17,TUR,RW,29-080,61,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,1,0,13,20,65.0,1,10,0,0,0
3888b764,Fenerbahçe,Allan Saint-Maximin,97,FRA,RW,27-205,29,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,1,0,11,16,68.8,5,14,2,0,0
3888b764,Fenerbahçe,Sebastian Szymański,53,POL,AM,25-146,90,0,0,0,0,1,0,0,0,36,0,2,2,0.1,0.1,0.1,2,0,12,20,60.0,2,20,1,2,0
3888b764,Fenerbahçe,Fred,13,BRA,DM,31-212,79,0,0,0,0,0,0,1,0,62,3,0,4,0.0,0.0,0.0,0,0,45,52,86.5,3,38,1,1,0
3888b764,Fenerbahçe,Mert Yandaş,8,TUR,DM,30-045,11,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,2,4,0,0,0
3888b764,Fenerbahçe,Sofyan Amrabat,34,MAR,DM,28-043,90,0,1,0,0,0,0,1,0,66,2,1,0,0.0,0.0,0.6,1,1,53,59,89.8,7,47,0,2,1
3888b764,Fenerbahçe,Jayden Oosterwolde,24,NED,LB,23-160,90,0,0,0,0,2,0,1,0,53,2,1,1,0.1,0.1,0.1,1,0,32,44,72.7,5,30,3,0,0
3888b764,Fenerbahçe,Alexander Djiku,6,GHA,CB,30-055,90,0,0,0,0,0,0,0,0,70,0,4,3,0.0,0.0,0.0,1,1,48,58,82.8,5,33,0,0,0
3888b764,Fenerbahçe,Rodrigo Becão,50,BRA,CB,28-258,90,0,0,0,0,0,0,1,0,49,1,4,0,0.0,0.0,0.0,0,0,36,42,85.7,0,29,0,0,0
3888b764,Fenerbahçe,Mert Müldür,16,TUR,RB,25-183,90,0,0,0,0,0,0,0,0,47,2,1,0,0.0,0.0,0.0,0,0,29,39,74.4,2,20,1,0,0
3888b764,Fenerbahçe,Dominik Livaković,40,CRO,GK,29-268,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,37,51,72.5,0,38,0,0,0
