match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4d537c52,Athletic Club,Maroan Sannadi,21,ESP,FW,24-040,76,0,0,0,0,4,1,0,0,38,0,1,0,0.6,0.6,0.3,4,0,14,22,63.6,0,28,2,2,0
4d537c52,Athletic Club,Gorka Guruzeta,12,ESP,FW,28-182,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,3,0,0,0
4d537c52,Athletic Club,Nico Williams,10,ESP,LW,22-244,90,2,0,0,0,4,2,0,0,67,1,0,2,0.5,0.5,0.2,9,1,40,48,83.3,7,52,9,11,6
4d537c52,Athletic Club,Iñaki Williams,9,GHA,RW,30-271,87,0,0,0,0,2,0,1,0,54,3,0,3,0.1,0.1,0.0,2,0,25,41,61.0,3,39,11,1,1
4d537c52,Athletic Club,Andoni Gorosabel,2,ESP,RB,28-221,3,0,0,0,0,0,0,1,0,3,0,1,2,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
4d537c52,Athletic Club,Unai Gómez,20,ESP,AM,21-292,45,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.6,3,0,9,13,69.2,0,8,0,1,0
4d537c52,Athletic Club,Álex Berenguer,7,ESP,AM,29-252,45,0,0,0,0,2,1,0,0,33,1,0,0,0.2,0.2,0.0,2,1,21,28,75.0,2,19,1,1,0
4d537c52,Athletic Club,Iñigo Ruiz de Galarreta,16,ESP,DM,31-219,87,0,0,0,0,0,0,0,0,73,3,0,0,0.0,0.0,0.1,3,0,66,69,95.7,10,60,2,1,1
4d537c52,Athletic Club,Beñat Prados,24,ESP,DM,24-033,3,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,1,0,0,0,0
4d537c52,Athletic Club,Mikel Jauregizar,23,ESP,DM,21-121,90,0,0,0,0,2,0,0,0,62,1,0,2,0.1,0.1,0.0,2,1,44,52,84.6,6,45,2,0,0
4d537c52,Athletic Club,Yuri Berchiche,17,ESP,LB,35-031,90,1,1,0,0,3,2,0,0,108,0,1,2,0.1,0.1,0.4,8,2,88,99,88.9,14,83,6,0,0
4d537c52,Athletic Club,Aitor Paredes,4,ESP,CB,24-318,68,0,0,0,0,1,1,0,0,48,0,1,0,0.0,0.0,0.0,1,0,42,44,95.5,7,34,0,0,0
4d537c52,Athletic Club,Iñigo Lekue,15,ESP,CB,31-313,22,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,28,31,90.3,3,26,0,0,0
4d537c52,Athletic Club,Unai Núñez,14,ESP,CB,28-042,90,0,1,0,0,3,1,0,0,92,1,5,0,0.1,0.1,0.1,4,1,77,81,95.1,9,75,1,0,0
4d537c52,Athletic Club,Óscar de Marcos,18,ESP,"RB,RW",35-333,90,0,0,0,0,1,0,0,0,109,0,0,0,0.0,0.0,0.1,4,0,88,104,84.6,18,87,9,1,0
4d537c52,Athletic Club,Julen Agirrezabala,13,ESP,GK,24-077,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,0,11,0,0,0
4d537c52,Roma,Artem Dovbyk,11,UKR,FW,27-265,52,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,9,17,52.9,0,11,0,0,0
4d537c52,Roma,Matìas Soulé,18,ARG,AM,21-332,38,0,0,0,0,0,0,1,0,18,0,0,1,0.0,0.0,0.0,1,1,11,13,84.6,3,14,2,3,3
4d537c52,Roma,Tommaso Baldanzi,35,ITA,AM,21-355,60,0,0,0,0,1,0,0,0,22,1,2,0,0.1,0.1,0.0,0,0,4,9,44.4,0,17,1,2,1
4d537c52,Roma,Niccolò Pisilli,61,ITA,"AM,CM",20-171,30,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.1,1,0,2,4,50.0,0,5,0,1,0
4d537c52,Roma,Paulo Dybala,21,ARG,"AM,FW",31-118,60,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,13,16,81.3,0,16,1,3,2
4d537c52,Roma,Eldor Shomurodov,14,UZB,FW,29-257,30,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.1,1,0,2,5,40.0,0,5,1,0,0
4d537c52,Roma,Leandro Paredes,16,ARG,CM,30-257,90,1,0,1,1,0,0,1,0,69,6,1,2,0.8,0.0,0.1,1,0,42,53,79.2,1,30,0,0,0
4d537c52,Roma,Bryan Cristante,4,ITA,CM,30-010,83,0,0,0,0,1,0,0,0,41,3,0,2,0.1,0.1,0.0,0,0,21,28,75.0,3,23,2,0,0
4d537c52,Roma,Alexis Saelemaekers,56,BEL,WB,25-259,7,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,7,0,2,1
4d537c52,Roma,Angeliño,3,ESP,WB,28-068,90,0,0,0,0,0,0,0,0,52,2,2,2,0.0,0.0,0.0,1,0,21,37,56.8,0,23,0,3,2
4d537c52,Roma,Devyne Rensch,2,NED,WB,22-054,83,0,0,0,0,0,0,1,0,38,2,2,0,0.0,0.0,0.0,1,0,20,24,83.3,1,15,0,0,0
4d537c52,Roma,Stephan El Shaarawy,92,ITA,AM,32-137,7,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,1,2,3,66.7,0,5,1,1,0
