match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5952f768,FCSB,Daniel Birligea,9,ROU,FW,24-286,90,0,0,0,0,3,1,0,0,23,0,1,2,0.1,0.1,0.1,1,0,7,11,63.6,2,12,0,2,1
5952f768,FCSB,Florin Tănase,7,ROU,"FW,AM",30-031,76,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.0,3,0,17,30,56.7,1,18,1,3,1
5952f768,FCSB,Marius Ştefănescu,15,ROU,RW,26-169,14,0,0,0,0,1,1,0,0,9,0,0,1,0.0,0.0,0.0,2,0,4,6,66.7,1,5,0,1,0
5952f768,FCSB,David Miculescu,11,ROU,"CM,AM,DM",23-273,76,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,12,20,60.0,1,18,0,3,1
5952f768,FCSB,Alexandru Musi,29,ROU,LW,20-197,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,3,3,100.0,0,4,0,4,3
5952f768,FCSB,Adrian Șut,8,ROU,"CM,DM",25-275,90,0,0,0,0,0,0,0,0,43,2,2,4,0.0,0.0,0.0,0,0,22,30,73.3,1,17,0,1,0
5952f768,FCSB,Malcolm Edjouma,18,FRA,CM,28-114,45,0,0,0,0,1,0,0,0,17,0,0,1,0.0,0.0,0.0,0,0,7,9,77.8,0,8,1,1,0
5952f768,FCSB,Baba Alhassan,42,GHA,"DM,CM",25-027,45,0,0,0,0,0,0,1,0,18,2,2,1,0.0,0.0,0.0,1,0,9,12,75.0,2,11,1,0,0
5952f768,FCSB,Risto Radunović,33,MNE,"LB,WB",32-271,90,0,0,0,0,1,0,0,0,49,2,2,2,0.0,0.0,0.3,2,0,34,46,73.9,1,27,1,1,1
5952f768,FCSB,Joyskim Dawa,5,CMR,CB,28-296,90,0,0,0,0,0,0,1,0,39,2,1,0,0.0,0.0,0.0,0,0,27,29,93.1,1,18,0,0,0
