match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
9f65c20e,Roma,Paulo Dybala,21,ARG,FW,31-027,45,0,0,0,0,3,2,0,0,33,0,0,0,0.4,0.4,0.2,4,0,15,24,62.5,3,22,2,4,1
9f65c20e,Roma,Artem Dovbyk,11,UKR,FW,27-174,45,0,0,0,0,4,1,0,0,17,0,0,1,0.2,0.2,0.0,4,0,7,8,87.5,2,12,2,2,1
9f65c20e,Roma,Lorenzo Pellegrini,7,ITA,AM,28-176,73,1,0,0,0,5,2,0,0,41,1,0,0,0.5,0.5,0.1,4,0,19,28,67.9,0,29,2,5,3
9f65c20e,Roma,Alexis Saelemaekers,56,BEL,AM,25-168,17,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,2,0,18,22,81.8,1,17,0,2,0
9f65c20e,Roma,Matìas Soulé,18,ARG,AM,21-241,73,0,0,0,0,4,1,0,0,34,1,0,1,0.7,0.7,0.0,3,0,10,19,52.6,2,20,3,7,3
9f65c20e,Roma,Stephan El Shaarawy,92,ITA,AM,32-046,17,0,0,0,0,5,2,0,0,19,0,0,0,0.2,0.2,0.0,3,0,10,14,71.4,2,14,3,0,0
9f65c20e,Roma,Manu Koné,17,FRA,CM,23-209,90,0,1,0,0,0,0,0,0,62,3,0,1,0.0,0.0,0.8,9,2,46,52,88.5,5,43,2,3,3
9f65c20e,Roma,Niccolò Pisilli,61,ITA,CM,20-080,84,0,0,0,0,3,0,0,0,55,1,1,4,0.1,0.1,0.0,3,0,36,41,87.8,4,39,1,2,2
9f65c20e,Roma,Enzo Le Fée,28,FRA,CM,24-313,6,0,0,0,0,0,0,0,0,16,2,0,1,0.0,0.0,0.0,0,0,10,10,100.0,2,11,0,2,0
9f65c20e,Roma,Nicola Zalewski,59,POL,WB,22-324,90,0,1,0,0,1,1,0,0,49,3,0,1,0.3,0.3,0.2,5,1,34,38,89.5,3,25,4,2,2
9f65c20e,Roma,Saud Abdulhamid,12,KSA,WB,25-147,90,1,0,0,0,2,1,0,0,53,1,0,1,0.4,0.4,0.5,7,0,41,46,89.1,4,36,4,2,0
9f65c20e,Roma,Obite N'Dicka,5,CIV,CB,25-114,90,0,0,0,0,3,2,0,0,72,0,0,1,0.1,0.1,0.0,5,2,59,65,90.8,5,57,0,0,0
9f65c20e,Roma,Mats Hummels,15,GER,CB,35-362,73,0,0,0,0,1,1,1,0,58,5,1,1,0.1,0.1,0.0,4,0,35,38,92.1,4,34,0,1,0
9f65c20e,Roma,Mario Hermoso,22,ESP,CB,29-177,17,1,0,0,0,1,1,0,0,24,0,0,2,0.4,0.4,0.0,0,0,15,19,78.9,0,16,1,0,0
9f65c20e,Roma,Gianluca Mancini,23,ITA,CB,28-239,90,0,0,0,0,2,1,0,0,58,2,0,0,0.1,0.1,0.7,4,0,43,48,89.6,1,43,1,0,0
9f65c20e,Roma,Mile Svilar,99,SRB,GK,25-107,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,2,0,35,40,87.5,0,33,0,0,0
9f65c20e,Braga,Amine El Ouazzani,9,MAR,FW,23-150,73,0,0,0,0,1,0,0,0,23,2,1,0,0.6,0.6,0.0,1,0,7,11,63.6,2,10,0,1,0
9f65c20e,Braga,Roberto Férnandez,90,ESP,FW,22-162,17,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,5,40.0,0,6,0,0,0
9f65c20e,Braga,Ismaël Gharbi,20,ESP,"LM,DM",20-246,69,0,0,0,0,0,0,0,0,31,3,1,0,0.0,0.0,0.0,0,0,14,20,70.0,2,20,4,2,1
9f65c20e,Braga,Lukáš Horníček,91,CZE,GK,22-152,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,0,0
9f65c20e,Braga,João Moutinho,8,POR,CM,38-095,55,0,0,0,0,1,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,22,26,84.6,0,24,2,1,1
9f65c20e,Braga,Rodrigo Zalazar,16,URU,DM,25-122,35,0,0,0,0,0,0,0,0,20,3,1,0,0.0,0.0,0.1,2,0,12,13,92.3,2,15,1,1,0
9f65c20e,Braga,Jean Gorby,29,FRA,"CM,DM",22-140,90,0,0,0,0,0,0,0,0,57,1,0,2,0.0,0.0,0.0,0,0,46,48,95.8,7,43,0,0,0
9f65c20e,Braga,Ricardo Horta,21,POR,RM,30-088,55,0,0,0,0,0,0,1,0,20,1,1,2,0.0,0.0,0.0,0,0,11,15,73.3,1,16,1,0,0
9f65c20e,Braga,André Horta,10,POR,"DM,FW",28-035,35,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.1,3,0,22,25,88.0,3,23,3,3,2
9f65c20e,Braga,Gabri Martínez,77,ESP,"LB,WB",21-325,90,0,0,0,0,1,0,0,0,48,5,1,1,0.2,0.2,0.0,2,0,32,37,86.5,0,28,1,2,0
9f65c20e,Braga,Robson Bambu,3,BRA,CB,27-030,45,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.0,0,0,37,39,94.9,1,41,0,0,0
9f65c20e,Braga,Adrián Marín,19,ESP,CB,27-338,45,0,0,0,0,1,0,0,0,34,3,0,3,0.1,0.1,0.2,2,0,17,23,73.9,1,21,0,0,0
9f65c20e,Braga,Paulo Oliveira,15,POR,CB,32-339,90,0,0,0,0,0,0,0,0,61,1,2,0,0.0,0.0,0.0,0,0,45,50,90.0,1,46,0,0,0
9f65c20e,Braga,João Ferreira,13,POR,CB,23-265,90,0,0,0,0,1,0,0,0,68,3,0,4,0.1,0.1,0.6,1,0,41,49,83.7,3,40,1,1,0
9f65c20e,Braga,Roger Fernandes,11,GNB,"RB,WB",19-021,90,0,0,0,0,2,0,1,0,53,3,0,2,0.1,0.1,0.1,2,0,23,38,60.5,2,34,5,3,2
9f65c20e,Braga,Matheus,1,BRA,GK,32-146,67,0,0,0,0,0,0,0,1,34,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,21,0,0,0
