match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a70bdc05,Manchester Utd,Rasmus Højlund,9,DEN,FW,21-298,90,2,1,0,0,3,2,0,0,24,1,0,2,0.7,0.7,1.1,1,0,12,15,80.0,2,11,0,0,0
a70bdc05,Manchester Utd,Alejandro Garnacho,17,ARG,AM,20-150,90,1,0,0,0,4,2,0,0,59,1,1,1,1.5,1.5,0.4,5,0,37,49,75.5,3,47,6,3,2
a70bdc05,Manchester Utd,Mason Mount,7,ENG,AM,25-323,59,0,0,0,0,2,0,0,0,35,1,0,2,0.3,0.3,0.0,2,1,20,27,74.1,2,16,0,0,0
a70bdc05,Manchester Utd,Marcus Rashford,10,ENG,AM,27-028,31,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,11,13,84.6,1,9,1,0,0
a70bdc05,Manchester Utd,Bruno Fernandes,8,POR,CM,30-081,90,0,0,0,0,5,1,0,0,94,1,0,2,0.2,0.2,0.0,5,0,74,85,87.1,15,64,0,0,0
a70bdc05,Manchester Utd,Manuel Ugarte Ribeiro,25,URU,CM,23-231,90,0,1,0,0,0,0,0,0,74,4,2,1,0.0,0.0,0.5,2,1,61,66,92.4,1,41,0,1,1
a70bdc05,Manchester Utd,Tyrell Malacia,12,NED,WB,25-103,45,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.1,2,0,42,50,84.0,4,39,2,4,2
a70bdc05,Manchester Utd,Diogo Dalot,20,POR,WB,25-255,45,0,0,0,0,1,0,0,0,39,0,1,1,0.0,0.0,0.0,3,0,27,32,84.4,1,27,2,2,2
a70bdc05,Manchester Utd,Antony,21,BRA,WB,24-278,59,0,0,0,0,1,0,0,0,64,1,2,1,0.0,0.0,0.0,4,0,47,53,88.7,1,46,2,6,4
a70bdc05,Manchester Utd,Amad Diallo,16,CIV,WB,22-140,31,0,0,0,0,3,1,0,0,22,1,0,1,0.1,0.1,0.2,2,0,13,15,86.7,3,14,3,0,0
a70bdc05,Manchester Utd,Lisandro Martínez,6,ARG,CB,26-315,59,0,0,0,0,0,0,0,0,83,2,1,0,0.0,0.0,0.2,3,0,79,79,100.0,16,72,4,0,0
a70bdc05,Manchester Utd,Luke Shaw,23,ENG,CB,29-139,31,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,46,47,97.9,3,38,0,0,0
a70bdc05,Manchester Utd,Matthijs de Ligt,4,NED,CB,25-108,65,0,0,0,0,0,0,0,0,102,0,1,1,0.0,0.0,0.0,0,0,95,100,95.0,6,85,1,0,0
a70bdc05,Manchester Utd,Casemiro,18,BRA,CB,32-279,25,0,0,0,0,0,0,1,0,30,0,0,1,0.0,0.0,0.0,0,0,25,28,89.3,2,24,0,0,0
a70bdc05,Manchester Utd,Noussair Mazraoui,3,MAR,CB,27-014,90,0,1,0,0,0,0,0,0,138,5,1,0,0.0,0.0,0.3,4,2,119,124,96.0,17,97,3,2,1
