match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
acc28918,Real Sociedad,Mikel Oyarzabal,10,ESP,FW,27-305,82,1,0,1,1,3,1,0,0,22,0,1,1,1.3,0.5,0.0,5,2,8,10,80.0,1,9,1,0,0
acc28918,Real Sociedad,Orri Steinn Óskarsson,9,ISL,FW,20-175,8,1,0,0,0,1,1,0,0,5,1,0,0,0.6,0.6,0.0,0,0,1,2,50.0,0,2,0,0,0
acc28918,Real Sociedad,Ander Barrenetxea,7,ESP,LW,23-055,82,0,1,0,0,3,2,0,0,39,1,1,0,0.2,0.2,0.7,6,2,18,26,69.2,2,22,3,6,5
acc28918,Real Sociedad,Arsen Zakharyan,8,RUS,LW,21-270,8,0,1,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.6,1,1,2,4,50.0,0,4,0,1,0
acc28918,Real Sociedad,Takefusa Kubo,14,JPN,RW,23-261,66,0,0,0,0,1,0,0,0,45,5,0,4,0.1,0.1,0.6,5,0,22,32,68.8,4,21,3,2,0
acc28918,Real Sociedad,Sheraldo Becker,11,SUR,RW,30-011,24,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.3,1,0,6,9,66.7,0,7,2,0,0
acc28918,Real Sociedad,Brais Méndez,23,ESP,LM,28-044,90,1,0,0,0,2,2,0,0,39,1,0,2,0.9,0.9,0.0,1,0,20,27,74.1,2,21,0,0,0
acc28918,Real Sociedad,Olasagasti,16,ESP,CM,24-188,66,0,0,0,0,0,0,1,0,40,3,2,3,0.0,0.0,0.0,2,0,21,27,77.8,2,16,0,0,0
acc28918,Real Sociedad,Beñat Turrientes,22,ESP,CM,23-020,24,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.1,2,0,13,14,92.9,2,14,0,3,2
acc28918,Real Sociedad,Luka Sučić,24,CRO,RM,22-165,47,2,0,0,0,4,2,0,0,24,2,1,0,0.7,0.7,0.0,4,0,11,13,84.6,2,12,0,1,0
acc28918,Real Sociedad,Pablo Marín,28,ESP,RM,21-232,43,0,0,0,0,2,1,0,0,16,2,0,0,0.2,0.2,0.0,2,1,7,9,77.8,2,9,2,0,0
acc28918,Real Sociedad,Aihen Muñoz,3,ESP,LB,27-188,90,0,0,0,0,1,0,0,0,47,2,0,0,0.0,0.0,0.0,2,0,25,32,78.1,4,20,3,1,0
acc28918,Real Sociedad,Nayef Aguerd,21,MAR,CB,28-327,90,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.0,0,0,35,40,87.5,1,27,0,0,0
acc28918,Real Sociedad,Igor Zubeldia,5,ESP,CB,27-327,90,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.0,0,0,26,27,96.3,0,23,0,0,0
acc28918,Real Sociedad,Aritz Elustondo,6,ESP,RB,30-329,90,0,0,0,0,3,0,0,0,57,2,1,4,0.6,0.6,0.0,3,0,32,41,78.0,1,28,2,1,1
acc28918,Real Sociedad,Álex Remiro,1,ESP,GK,29-333,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,34,44,77.3,0,32,0,0,0
acc28918,Midtjylland,Adam Buksa,18,POL,FW,28-223,90,1,1,1,1,1,0,1,0,25,0,0,0,0.8,0.0,0.2,2,1,8,15,53.3,1,7,1,3,1
acc28918,Midtjylland,Aral Şimşir,58,DEN,LW,22-246,74,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.0,0,0,18,25,72.0,2,17,3,3,1
