match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b86a7335,Eint Frankfurt,Omar Marmoush,7,EGY,FW,25-274,68,1,0,0,0,4,2,0,0,34,0,1,0,0.4,0.4,0.0,4,1,13,17,76.5,2,27,3,7,1
b86a7335,Eint Frankfurt,Hugo Ekitike,11,FRA,FW,22-140,22,0,0,0,0,1,1,0,0,10,0,1,0,0.1,0.1,0.0,0,0,4,4,100.0,1,8,2,2,0
b86a7335,Eint Frankfurt,Can Uzun,20,TUR,FW,18-362,60,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.1,2,0,16,20,80.0,2,18,2,0,0
b86a7335,Eint Frankfurt,Igor Matanovic,9,CRO,FW,21-221,30,0,0,0,0,0,0,1,0,21,1,0,0,0.0,0.0,0.1,1,0,7,11,63.6,1,9,0,0,0
b86a7335,Eint Frankfurt,Ansgar Knauff,36,GER,LM,22-302,68,0,0,0,0,2,1,0,0,30,3,0,0,0.3,0.3,0.0,1,0,15,19,78.9,3,17,3,1,1
b86a7335,Eint Frankfurt,Junior Dina Ebimbe,26,FRA,LM,23-352,22,0,0,0,0,1,0,1,0,11,0,0,1,0.1,0.1,0.0,0,0,6,8,75.0,0,7,1,0,0
b86a7335,Eint Frankfurt,Hugo Larsson,16,SWE,CM,20-133,90,0,0,0,0,0,0,0,0,68,7,3,1,0.0,0.0,0.0,1,0,41,50,82.0,3,38,1,1,0
b86a7335,Eint Frankfurt,Mahmoud Dahoud,18,GER,CM,28-311,79,0,0,0,0,1,0,0,0,38,3,2,2,0.1,0.1,0.0,1,0,18,25,72.0,0,20,0,1,0
b86a7335,Eint Frankfurt,Ellyes Skhiri,15,TUN,CM,29-181,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,0,0,0,0
b86a7335,Eint Frankfurt,Mario Götze,27,GER,RM,32-157,90,0,0,0,0,0,0,0,0,64,0,3,1,0.0,0.0,0.0,0,0,38,51,74.5,3,43,0,0,0
b86a7335,Eint Frankfurt,Arthur Theate,3,BEL,LB,24-166,79,0,0,0,0,0,0,0,0,57,5,2,1,0.0,0.0,0.3,1,0,34,47,72.3,4,22,0,0,0
b86a7335,Eint Frankfurt,Aurele Amenda,5,SUI,LB,21-099,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
b86a7335,Eint Frankfurt,Robin Koch,4,GER,CB,28-113,90,0,0,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,1,1,26,42,61.9,2,21,0,0,0
b86a7335,Eint Frankfurt,Tuta,35,BRA,CB,25-126,90,0,0,0,0,1,1,0,0,55,4,1,2,0.0,0.0,0.0,0,0,24,34,70.6,0,25,0,1,0
b86a7335,Eint Frankfurt,Nnamdi Collins,34,GER,RB,20-302,90,0,0,0,0,0,0,1,0,57,4,4,1,0.0,0.0,0.1,3,0,30,40,75.0,2,21,1,1,1
b86a7335,Eint Frankfurt,Kevin Trapp,1,GER,GK,34-122,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,25,44,56.8,0,26,0,0,0
b86a7335,Slavia Prague,Tomáš Chorý,25,CZE,FW,29-286,66,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,6,17,35.3,1,12,0,0,0
b86a7335,Slavia Prague,Mojmir Chytil,13,CZE,FW,25-192,24,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,0,1,1,100.0,0,3,0,0,0
b86a7335,Slavia Prague,Lukáš Provod,17,CZE,AM,28-015,67,0,0,0,0,1,0,0,0,28,0,0,1,0.0,0.0,0.1,4,0,18,23,78.3,1,14,1,0,0
b86a7335,Slavia Prague,Ondřej Lingr,32,CZE,AM,26-031,23,0,0,0,0,4,2,0,0,21,0,0,1,0.4,0.4,0.1,3,0,10,13,76.9,2,9,1,3,1
b86a7335,Slavia Prague,Simion Michez,14,BEL,AM,22-272,83,0,0,0,0,5,0,0,0,45,2,2,2,0.2,0.2,0.0,1,0,16,22,72.7,1,16,2,1,0
b86a7335,Slavia Prague,Ivan Schranz,26,SVK,AM,31-055,7,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0
b86a7335,Slavia Prague,Christos Zafeiris,10,GRE,CM,21-258,90,0,0,0,0,2,1,0,0,47,2,0,1,0.0,0.0,0.2,7,0,22,35,62.9,4,20,3,2,0
b86a7335,Slavia Prague,Oscar Dorley,19,LBR,CM,26-111,90,0,0,0,0,0,0,0,0,44,3,1,0,0.0,0.0,0.0,0,0,29,36,80.6,1,16,0,0,0
b86a7335,Slavia Prague,El Hadji Diouf,12,SEN,WB,19-315,90,0,0,0,0,1,0,0,0,64,2,1,0,0.0,0.0,0.2,4,0,31,49,63.3,7,29,2,6,3
b86a7335,Slavia Prague,Ondřej Zmrzlý,33,CZE,WB,25-199,56,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.1,3,0,18,26,69.2,3,12,1,0,0
b86a7335,Slavia Prague,Matěj Jurásek,35,CZE,WB,21-069,34,0,0,0,0,2,1,1,0,29,0,0,0,0.1,0.1,0.0,6,0,14,22,63.6,3,18,1,2,1
b86a7335,Slavia Prague,Jan Bořil,18,CZE,CB,33-301,90,0,0,0,0,0,0,0,0,99,2,1,0,0.0,0.0,0.0,1,0,65,90,72.2,13,34,3,1,1
b86a7335,Slavia Prague,Ogbu Igoh,5,NGA,CB,24-273,83,0,0,0,0,1,0,0,0,59,3,5,1,0.1,0.1,0.0,2,0,34,46,73.9,4,14,0,0,0
b86a7335,Slavia Prague,Štěpán Kozel,2,CZE,CB,21-244,7,0,0,0,0,0,0,0,0,6,0,1,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
