match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d0337a53,Ferencváros,Barnabás Varga,19,HUN,FW,30-308,85,2,0,1,1,1,1,1,0,21,0,0,0,0.9,0.1,0.1,2,1,9,13,69.2,3,14,2,2,1
d0337a53,Ferencváros,Aleksandar Pešić,8,SRB,FW,32-191,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
d0337a53,Ferencváros,Adama Traoré,20,MLI,LW,29-176,90,0,0,0,0,1,0,0,0,26,1,1,2,0.0,0.0,0.0,1,1,12,16,75.0,2,11,1,1,0
d0337a53,Ferencváros,Saldanha,11,BRA,RW,25-102,61,0,0,0,0,2,0,0,0,23,3,0,2,0.1,0.1,0.0,1,0,9,9,100.0,1,13,1,1,0
d0337a53,Ferencváros,Kristoffer Zachariassen,16,NOR,RW,30-032,29,0,0,0,0,1,1,0,0,11,2,0,2,0.1,0.1,0.0,0,0,4,5,80.0,0,3,0,1,0
d0337a53,Ferencváros,Kady Borges,10,BRA,AM,28-210,73,1,1,0,0,1,1,0,0,27,2,1,0,0.1,0.1,0.1,3,2,15,21,71.4,5,10,3,0,0
d0337a53,Ferencváros,Mohamed Ali Ben Romdhane,7,TUN,AM,25-083,17,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,3,1
d0337a53,Ferencváros,Mohammad Abu Fani,15,ISR,DM,26-215,85,0,1,0,0,0,0,0,0,42,1,3,1,0.0,0.0,0.3,2,2,26,34,76.5,5,28,3,0,0
d0337a53,Ferencváros,Philippe Rommens,88,BEL,DM,27-100,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
d0337a53,Ferencváros,Habib Maïga,80,CIV,DM,28-332,90,0,0,0,0,0,0,0,0,21,1,0,2,0.0,0.0,0.1,2,0,10,12,83.3,1,6,0,0,0
d0337a53,Ferencváros,Cristian Ramírez,99,ECU,LB,30-108,90,0,0,0,0,1,1,0,0,39,1,0,0,0.0,0.0,0.0,1,1,23,34,67.6,1,22,2,1,0
d0337a53,Ferencváros,Stefan Gartenmann,3,SUI,CB,27-300,90,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.0,0,0,29,32,90.6,0,26,0,0,0
d0337a53,Ferencváros,Ibrahim Cissé,27,SEN,CB,28-210,85,1,0,0,0,1,1,0,0,41,0,0,2,0.3,0.3,0.0,0,0,34,36,94.4,1,27,0,0,0
d0337a53,Ferencváros,Gábor Szalai,22,HUN,CB,24-172,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
d0337a53,Ferencváros,Cebrails Makreckis,25,LVA,RB,24-202,90,0,0,0,0,0,0,0,0,40,1,4,1,0.0,0.0,0.0,0,0,30,34,88.2,2,21,2,0,0
d0337a53,Ferencváros,Dénes Dibusz,90,HUN,GK,34-012,90,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,20,0,0,0
d0337a53,Malmö,Erik Botheim,20,NOR,FW,24-323,81,1,0,1,1,1,0,0,0,18,0,0,0,0.9,0.1,0.0,1,0,12,14,85.7,1,16,1,0,0
d0337a53,Malmö,Oliver Berg,16,NOR,"RW,FW",31-092,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,3,0,0,0
d0337a53,Malmö,Hugo Bolin,38,SWE,LW,21-127,86,0,0,0,0,1,0,0,0,50,3,0,1,0.0,0.0,0.3,6,1,40,41,97.6,9,39,3,7,4
d0337a53,Malmö,Daníel Gudjohnsen,32,ISL,AM,18-272,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
d0337a53,Malmö,Otto Rosengren,7,SWE,"RW,DM",21-196,90,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.1,2,0,42,49,85.7,4,41,1,3,1
d0337a53,Malmö,Anders Christiansen,10,DEN,AM,34-173,82,0,0,0,0,2,1,0,0,41,0,0,0,0.1,0.1,0.0,1,0,28,35,80.0,1,29,0,2,0
d0337a53,Malmö,Zakaria Loukili,34,SWE,"LW,AM",18-308,8,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,5,1,0,0
d0337a53,Malmö,Lasse Berg Johnsen,23,NOR,DM,25-102,90,0,0,0,0,2,2,0,0,80,0,0,1,0.3,0.3,0.0,1,0,65,75,86.7,6,63,2,1,1
d0337a53,Malmö,Sergio Peña,8,PER,DM,29-061,65,0,0,0,0,2,0,0,0,70,1,0,0,0.0,0.0,0.0,1,0,53,66,80.3,4,48,0,0,0
d0337a53,Malmö,Isaac Kiese Thelin,9,SWE,"DM,FW",32-157,25,0,0,0,0,0,0,1,0,4,0,0,1,0.0,0.0,0.0,1,0,2,3,66.7,0,0,0,0,0
d0337a53,Malmö,Busanello,25,BRA,LB,26-030,90,0,0,0,0,1,0,0,0,77,2,0,1,0.0,0.0,0.1,4,1,61,72,84.7,9,49,0,2,2
d0337a53,Malmö,Nils Zetterström,35,SWE,CB,19-244,90,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.0,0,0,49,58,84.5,3,44,1,0,0
d0337a53,Malmö,Colin Rosler,19,NOR,CB,24-220,90,0,0,0,0,0,0,0,0,78,1,0,0,0.0,0.0,0.0,1,0,71,75,94.7,8,59,3,0,0
d0337a53,Malmö,Jens Stryger Larsen,17,DEN,RB,33-281,81,0,0,0,0,0,0,1,0,62,0,1,0,0.0,0.0,0.0,2,0,52,59,88.1,6,39,0,0,0
d0337a53,Malmö,Adrian Skogmar,37,SWE,RB,19-005,9,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,1,7,2,0,0
d0337a53,Malmö,Ricardo,1,BRA,GK,31-284,90,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,12,15,80.0,0,9,0,0,0
