match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f8d90347,Ajax,Oliver Edvardsen,17,NOR,FW,25-338,45,0,0,0,0,0,0,0,0,22,2,0,1,0.0,0.0,0.0,1,0,6,13,46.2,0,14,0,4,1
f8d90347,Ajax,Bertrand Traoré,20,BFA,FW,29-167,75,0,0,0,0,1,1,0,0,25,0,1,0,0.1,0.1,0.0,2,1,9,14,64.3,1,15,3,5,5
f8d90347,Ajax,Christian Rasmussen,29,DEN,FW,22-032,40,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,10,0,5,0
f8d90347,Ajax,Kenneth Taylor,8,NED,"CM,FW",22-280,80,1,0,1,1,0,0,1,0,26,1,0,4,0.8,0.0,0.0,0,0,9,14,64.3,0,8,0,1,0
f8d90347,Ajax,Steven Berghuis,23,NED,"AM,CM",33-063,45,0,0,0,0,2,2,0,0,23,0,0,0,0.3,0.3,0.5,3,0,17,21,81.0,1,14,1,1,1
f8d90347,Ajax,Anton Gaaei,3,DEN,RB,22-093,75,0,0,0,0,0,0,1,0,40,1,0,3,0.0,0.0,0.0,0,0,14,21,66.7,2,8,0,1,0
f8d90347,Ajax,Kian Fitz-Jim,28,NED,"LM,RM",21-230,120,0,0,0,0,0,0,0,0,50,2,2,3,0.0,0.0,0.3,2,0,23,30,76.7,3,20,1,5,0
f8d90347,Ajax,Davy Klaassen,18,NED,CM,31-365,24,0,0,0,0,0,0,0,1,15,2,2,0,0.0,0.0,0.0,0,0,9,12,75.0,0,7,0,0,0
f8d90347,Ajax,Jorthy Mokio,31,BEL,"RM,CM",16-357,90,0,0,0,0,0,0,0,0,44,2,0,2,0.0,0.0,0.0,0,0,28,30,93.3,3,19,1,3,2
f8d90347,Ajax,Jordan Henderson,6,ENG,CM,34-248,30,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
f8d90347,Ajax,Jorrel Hato,4,NED,"LB,CB",18-350,120,0,0,0,0,1,0,1,0,62,2,0,2,0.5,0.5,0.1,1,0,34,43,79.1,6,30,3,5,2
f8d90347,Ajax,Daniele Rugani,24,ITA,CB,30-206,45,0,0,0,0,0,0,0,0,37,1,0,1,0.0,0.0,0.0,0,0,24,26,92.3,0,12,0,0,0
f8d90347,Ajax,Ahmetcan Kaplan,13,TUR,CB,22-035,75,0,0,0,0,0,0,1,0,33,1,0,3,0.0,0.0,0.0,0,0,18,20,90.0,1,11,0,0,0
f8d90347,Ajax,Josip Šutalo,37,CRO,CB,24-358,120,0,0,0,0,0,0,0,0,54,1,5,2,0.0,0.0,0.0,0,0,27,33,81.8,0,18,1,1,0
f8d90347,Ajax,Lucas Oliveira Rosa,2,BRA,"RB,LB",24-323,60,0,0,0,0,0,0,1,0,35,2,2,0,0.0,0.0,0.0,1,0,21,30,70.0,1,15,1,0,0
f8d90347,Ajax,Mika Godts,11,BEL,"LM,LB",19-258,60,0,0,0,0,1,1,0,0,21,4,1,2,0.0,0.0,0.0,1,0,6,9,66.7,0,10,2,3,2
f8d90347,Ajax,Remko Pasveer,22,NED,GK,41-104,120,0,0,0,0,0,0,0,0,78,0,0,0,0.0,0.0,0.0,0,0,25,71,35.2,0,46,0,0,0
f8d90347,Union SG,Tobi David,12,CAN,FW,23-232,72,1,0,1,1,3,2,0,0,22,2,0,0,1.5,0.8,0.1,3,0,6,10,60.0,1,15,0,0,0
f8d90347,Union SG,Kevin Rodríguez,13,ECU,FW,24-353,48,0,0,0,0,1,1,0,0,19,0,0,0,0.1,0.1,0.1,0,0,6,12,50.0,1,14,1,0,0
f8d90347,Union SG,Franjo Ivanović,9,CRO,FW,21-142,120,0,0,0,0,6,0,0,0,49,4,0,1,0.4,0.4,0.0,3,0,20,28,71.4,1,31,5,4,3
f8d90347,Union SG,Sofiane Boufal,23,MAR,AM,31-156,60,0,1,0,0,1,0,1,0,47,1,0,1,0.1,0.1,0.6,7,2,30,36,83.3,4,37,4,9,5
f8d90347,Union SG,Anouar Ait El Hadj,10,BEL,AM,22-306,60,0,0,0,0,1,0,0,0,62,0,0,0,0.1,0.1,0.2,7,0,43,58,74.1,8,43,2,2,2
f8d90347,Union SG,Noah Sadiki,27,COD,CM,20-065,104,0,0,0,0,0,0,1,0,97,2,2,1,0.0,0.0,0.2,5,0,79,88,89.8,8,72,4,1,1
f8d90347,Union SG,Fedde Leysen,48,BEL,CM,21-226,16,0,0,0,0,1,0,0,0,15,1,0,0,0.2,0.2,0.2,3,0,10,11,90.9,1,10,0,0,0
f8d90347,Union SG,Mathias Rasmussen,4,NOR,CM,27-087,93,0,0,0,0,0,0,0,0,67,3,0,0,0.0,0.0,0.1,4,0,54,63,85.7,4,46,1,0,0
f8d90347,Union SG,Kamiel Van De Perre,6,BEL,CM,21-008,27,0,0,0,0,0,0,1,0,27,2,0,0,0.0,0.0,0.0,3,0,16,21,76.2,6,17,3,0,0
f8d90347,Union SG,Ousseynou Niang,22,SEN,WB,23-131,120,0,0,0,0,4,1,0,0,94,1,1,2,0.5,0.5,0.2,10,1,63,82,76.8,11,72,11,7,5
f8d90347,Union SG,Anan Khalaili,25,ISR,WB,20-170,93,0,0,0,0,3,0,1,0,76,3,1,1,0.1,0.1,0.0,1,0,44,59,74.6,8,51,4,6,3
f8d90347,Union SG,Mohammed Fuseini,77,GHA,WB,22-280,27,0,0,0,0,3,1,0,0,29,1,0,1,0.2,0.2,0.0,5,0,8,19,42.1,0,24,5,7,3
f8d90347,Union SG,Koki Machida,28,JPN,CB,27-179,120,0,0,0,0,3,1,0,0,120,3,0,2,0.2,0.2,0.9,6,0,84,97,86.6,19,72,6,0,0
f8d90347,Union SG,Christian Burgess,16,ENG,CB,33-136,104,0,0,0,0,0,0,1,0,107,0,2,1,0.0,0.0,0.0,0,0,84,90,93.3,8,69,0,0,0
f8d90347,Union SG,Ross Sykes,26,ENG,CB,25-331,16,0,0,0,0,3,1,0,0,6,0,0,0,0.2,0.2,0.1,1,0,1,2,50.0,0,1,0,0,0
f8d90347,Union SG,Kevin Mac Allister,5,ARG,CB,27-105,120,1,0,0,0,4,2,1,0,129,7,3,2,0.6,0.6,0.0,3,0,94,102,92.2,8,74,3,0,0
f8d90347,Union SG,Anthony Moris,49,LUX,GK,34-297,120,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,20,25,80.0,0,16,0,0,0
