match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
fe73f915,Galatasaray,Victor Osimhen,45,NGA,FW,26-053,79,1,0,0,0,7,4,0,0,22,0,0,1,0.5,0.5,0.0,3,0,11,13,84.6,1,11,2,0,0
fe73f915,Galatasaray,Berat Lus,67,,FW,17-306,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0
fe73f915,Galatasaray,Dries Mertens,10,BEL,FW,37-290,45,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,5,0,24,32,75.0,4,27,0,0,0
fe73f915,Galatasaray,Kerem Demirbay,8,GER,DM,31-232,45,0,0,0,0,0,0,0,0,38,2,1,0,0.0,0.0,0.0,3,0,30,34,88.2,7,20,1,0,0
fe73f915,Galatasaray,Roland Sallai,7,HUN,"RW,LM",27-274,90,1,0,0,0,2,2,0,0,53,0,0,2,0.1,0.1,0.1,4,0,34,44,77.3,4,36,5,0,0
fe73f915,Galatasaray,Gabriel Sara,20,BRA,"CM,AM",25-239,72,0,0,0,0,4,2,0,0,67,1,2,1,0.1,0.1,0.1,3,0,46,56,82.1,8,50,3,0,0
fe73f915,Galatasaray,Yusuf Demir,30,AUT,AM,21-263,18,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0
fe73f915,Galatasaray,Lucas Torreira,34,URU,"CM,DM",29-009,60,0,1,0,0,0,0,0,0,76,0,0,2,0.0,0.0,0.1,4,1,58,67,86.6,10,52,0,1,0
fe73f915,Galatasaray,Berkan Kutlu,18,TUR,DM,27-026,30,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.0,2,1,14,19,73.7,5,17,2,1,0
fe73f915,Galatasaray,Barış Alper Yılmaz,53,TUR,"LW,RM",24-273,90,0,1,0,0,6,1,0,0,51,3,1,0,0.2,0.2,0.2,5,1,23,32,71.9,3,38,2,4,1
fe73f915,Galatasaray,Elias Jelert,24,DEN,LB,21-253,90,0,0,0,0,0,0,1,0,69,3,1,2,0.0,0.0,0.0,2,0,44,54,81.5,5,35,1,0,0
fe73f915,Galatasaray,Abdülkerim Bardakcı,42,TUR,CB,30-166,90,0,0,0,0,0,0,0,0,89,4,2,5,0.0,0.0,0.0,4,0,66,75,88.0,7,54,0,0,0
fe73f915,Galatasaray,Davinson Sánchez,6,COL,CB,28-253,45,0,0,0,0,0,0,0,0,62,2,1,1,0.0,0.0,0.0,1,0,42,53,79.2,4,37,3,0,0
fe73f915,Galatasaray,Metehan Baltacı,90,TUR,RB,22-109,45,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.1,1,0,31,36,86.1,3,26,0,0,0
fe73f915,Galatasaray,Carlos Cuesta,26,COL,"CB,RB",25-348,90,0,0,0,0,1,0,0,0,69,1,0,1,0.0,0.0,0.0,2,1,56,64,87.5,4,46,3,0,0
fe73f915,Galatasaray,Günay Güvenç,19,,GK,33-240,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,0,13,0,0,0
fe73f915,AZ Alkmaar,Troy Parrott,9,IRL,FW,23-016,86,0,0,0,0,4,1,0,0,39,0,0,1,0.8,0.8,0.2,6,0,20,25,80.0,3,25,1,6,4
fe73f915,AZ Alkmaar,Ibrahim Sadiq,11,GHA,FW,24-289,4,0,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0.0,0,0,3,4,75.0,0,4,0,0,0
fe73f915,AZ Alkmaar,Mayckel Lahdo,23,SWE,LW,22-052,45,0,0,0,0,1,0,0,0,17,0,1,0,0.0,0.0,0.2,4,0,8,11,72.7,3,12,2,2,1
fe73f915,AZ Alkmaar,Denso Kasius,30,NED,RW,22-137,45,1,0,0,0,2,1,0,0,30,1,1,1,0.1,0.1,0.5,3,0,14,19,73.7,3,14,2,4,2
fe73f915,AZ Alkmaar,Ernest Poku,21,NED,"LW,RW",21-023,90,0,0,0,0,7,2,0,0,34,0,0,0,0.7,0.7,0.2,8,1,17,21,81.0,2,22,8,5,3
fe73f915,AZ Alkmaar,Sven Mijnans,10,NED,AM,24-348,11,0,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.0,1,0,3,5,60.0,2,3,0,0,0
fe73f915,AZ Alkmaar,Zico Buurmeester,28,NED,AM,22-258,79,0,0,0,0,0,0,0,0,50,3,2,2,0.0,0.0,0.4,9,1,34,39,87.2,3,19,1,1,0
fe73f915,AZ Alkmaar,Kristijan Belic,14,SRB,DM,23-332,60,0,0,0,0,3,1,0,0,42,4,1,3,0.2,0.2,0.0,2,0,13,23,56.5,1,16,0,2,0
